"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OCROS (000)",8119,1487,2044,1682,1755,1151
"Sin nivel (001)",530,21,23,93,161,232
"Educación inicial (002)",76,73,2,1,,
"Primaria (003)",3782,1160,393,595,908,726
"Secundaria (004)",2723,233,1250,655,473,112
"Superior no univ. incompleta (005)",230,,107,70,38,15
"Superior no univ. completa (006)",245,,84,95,44,22
"Superior univ. incompleta (007)",186,,117,44,21,4
"Superior univ. completa (008)",347,,68,129,110,40
"PEA (010)",3639,48,1033,1105,1055,398
"Sin nivel (011)",161,,7,48,64,42
"Educación inicial (012)",2,1,,1,,
"Primaria (013)",1382,31,216,342,517,276
"Secundaria (014)",1410,16,587,433,325,49
"Superior no univ. incompleta (015)",149,,59,56,26,8
"Superior no univ. completa (016)",179,,60,78,31,10
"Superior univ. incompleta (017)",101,,50,37,11,3
"Superior univ. completa (018)",255,,54,110,81,10
"Ocupada (020)",3528,46,981,1073,1036,392
"Sin nivel (021)",158,,7,47,62,42
"Educación inicial (022)",2,1,,1,,
"Primaria (023)",1342,29,204,331,504,274
"Secundaria (024)",1362,16,561,418,321,46
"Superior no univ. incompleta (025)",146,,57,55,26,8
"Superior no univ. completa (026)",173,,56,76,31,10
"Superior univ. incompleta (027)",99,,48,37,11,3
"Superior univ. completa (028)",246,,48,108,81,9
"Desocupada (030)",111,2,52,32,19,6
"Sin nivel (031)",3,,,1,2,
"Primaria (033)",40,2,12,11,13,2
