"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ACOBAMBA (000)",14921,13942,47,2398,2294,2074,3508,2373,1014,234,979,55031
"De 12 a 14 años (001)",22,7,,6,1,,,,,,15,8
"De 15 a 19 años (002)",508,428,8,364,41,9,6,,,,80,497
"De 20 a 24 años (003)",1935,1573,3,838,520,170,32,10,,,362,2589
"De 25 a 29 años (004)",2015,1749,7,440,566,429,289,15,3,,266,4204
"De 30 a 34 años (005)",1780,1686,2,219,371,392,537,148,16,1,94,5568
"De 35 a 39 años (006)",1751,1700,5,128,220,295,611,359,78,4,51,7153
"De 40 a 44 años (007)",1433,1414,2,66,123,184,476,374,154,35,19,7044
"De 45 a 49 años (008)",1318,1304,2,51,126,122,366,371,210,56,14,7085
"De 50 y más años (009)",4159,4081,18,286,326,473,1191,1096,553,138,78,20883
"PEA (010)",4265,3924,17,741,696,588,964,604,254,60,341,14827
"De 12 a 14 años (011)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (012)",122,97,1,82,9,3,2,,,,25,117
"De 20 a 24 años (013)",545,423,,235,136,44,5,3,,,122,680
"De 25 a 29 años (014)",604,493,3,152,162,108,66,1,1,,111,1089
"De 30 a 34 años (015)",560,514,2,95,125,103,156,29,4,,46,1562
"De 35 a 39 años (016)",554,534,1,56,93,102,163,103,15,1,20,2060
"De 40 a 44 años (017)",439,433,1,31,44,68,133,102,45,9,6,2041
"De 45 a 49 años (018)",400,397,2,17,46,47,115,96,56,18,3,2044
"De 50 y más años (019)",1039,1031,7,72,80,113,324,270,133,32,8,5231
"Ocupada (020)",4116,3817,17,709,680,572,942,591,246,60,299,14464
"De 12 a 14 años (021)",2,2,,1,1,,,,,,,3
