"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHEPEN (000)",26640,17526,3958,3243,1913
"Sin nivel (001)",1888,1192,304,263,129
"Educación inicial (002)",30,11,9,8,2
"Primaria (003)",7576,5000,1198,991,387
"Secundaria (004)",9745,6940,1408,893,504
"Superior no univ. incompleta (005)",1458,1037,188,126,107
"Superior no univ. completa (006)",2886,1704,400,449,333
"Superior univ. incompleta (007)",845,555,127,80,83
"Superior univ. completa (008)",2212,1087,324,433,368
"De 06 a 14 años (010)",461,263,79,88,31
"Sin nivel (011)",23,13,2,7,1
"Educación inicial (012)",4,,2,2,
"Primaria (013)",294,157,52,62,23
"Secundaria (014)",140,93,23,17,7
"De 15 a 29 años (020)",8257,5178,1415,1114,550
"Sin nivel (021)",243,117,45,62,19
"Educación inicial (022)",14,8,2,3,1
"Primaria (023)",1878,1024,374,348,132
"Secundaria (024)",3842,2569,641,415,217
"Superior no univ. incompleta (025)",633,468,90,44,31
"Superior no univ. completa (026)",838,513,131,131,63
"Superior univ. incompleta (027)",363,244,63,34,22
"Superior univ. completa (028)",446,235,69,77,65
"De 30 a 44 años (030)",9706,6216,1452,1263,775
"Sin nivel (031)",642,387,107,94,54
"Educación inicial (032)",12,3,5,3,1
"Primaria (033)",2212,1414,372,304,122
"Secundaria (034)",3592,2606,504,312,170
"Superior no univ. incompleta (035)",523,355,67,54,47
"Superior no univ. completa (036)",1454,823,203,245,183
"Superior univ. incompleta (037)",258,161,35,32,30
"Superior univ. completa (038)",1013,467,159,219,168
"De 45 a 64 años (040)",6926,4826,890,698,512
"Sin nivel (041)",724,489,117,76,42
"Primaria (043)",2481,1811,339,240,91
"Secundaria (044)",2026,1554,227,140,105
"Superior no univ. incompleta (045)",268,182,30,27,29
"Superior no univ. completa (046)",555,335,63,72,85
"Superior univ. incompleta (047)",194,125,27,13,29
"Superior univ. completa (048)",678,330,87,130,131
"De 65 y más años (050)",1290,1043,122,80,45
"Sin nivel (051)",256,186,33,24,13
"Primaria (053)",711,594,61,37,19
"Secundaria (054)",145,118,13,9,5
"Superior no univ. incompleta (055)",34,32,1,1,
"Superior no univ. completa (056)",39,33,3,1,2
"Superior univ. incompleta (057)",30,25,2,1,2
