"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAURA (000)",55397,609,18388,17733,7210,2854,1183,364,46,,7010
"Catolica (001)",46705,501,15221,14928,6217,2494,1007,305,41,,5991
"Cristiana / Evangelica (002)",6282,81,2395,2020,700,247,121,41,4,,673
"Otra (003)",1580,11,480,546,203,81,46,14,1,,198
"Ninguna (004)",830,16,292,239,90,32,9,4,,,148
,,,,,,,,,,,
"URBANA (006)",48596,490,15524,15498,6595,2671,1098,330,41,,6349
"Catolica (007)",41298,408,12959,13157,5719,2344,943,282,37,,5449
"Cristiana / Evangelica (008)",5084,59,1849,1635,600,217,104,32,4,,584
"Otra (009)",1469,9,452,496,192,80,45,12,,,183
"Ninguna (010)",745,14,264,210,84,30,6,4,,,133
,,,,,,,,,,,
"RURAL (012)",6801,119,2864,2235,615,183,85,34,5,,661
"Catolica (013)",5407,93,2262,1771,498,150,64,23,4,,542
"Cristiana / Evangelica (014)",1198,22,546,385,100,30,17,9,,,89
"Otra (015)",111,2,28,50,11,1,1,2,1,,15
"Ninguna (016)",85,2,28,29,6,2,3,,,,15
