"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MORROPON (000)",150650,6608,36068,28356,20339,19571,15794,10246,13668
"Quechua (001)",171,9,46,30,21,23,18,12,12
"Aymara (002)",20,4,5,4,2,1,,3,1
"Ashaninca (003)",10,,4,2,,,2,1,1
"Otra lengua nativa (004)",143,4,32,26,24,20,13,11,13
"Castellano (005)",150065,6580,35923,28253,20261,19482,15736,10202,13628
"Idioma extranjero (006)",32,,,2,3,5,9,9,4
"Es sordomudo/a (007)",209,11,58,39,28,40,16,8,9
"Hombres (009)",76386,3382,18420,14769,9853,9578,7987,5239,7158
"Quechua (010)",90,6,21,20,10,11,10,5,7
"Aymara (011)",7,,2,1,1,,,3,
"Ashaninca (012)",5,,3,,,,1,,1
"Otra lengua nativa (013)",80,4,17,15,12,12,6,8,6
"Castellano (014)",76067,3366,18334,14713,9811,9533,7962,5214,7134
"Idioma extranjero (015)",12,,,1,,2,2,4,3
"Es sordomudo/a (016)",125,6,43,19,19,20,6,5,7
"Mujeres (018)",74264,3226,17648,13587,10486,9993,7807,5007,6510
"Quechua (019)",81,3,25,10,11,12,8,7,5
"Aymara (020)",13,4,3,3,1,1,,,1
"Ashaninca (021)",5,,1,2,,,1,1,
"Otra lengua nativa (022)",63,,15,11,12,8,7,3,7
"Castellano (023)",73998,3214,17589,13540,10450,9949,7774,4988,6494
"Idioma extranjero (024)",20,,,1,3,3,7,5,1
"Es sordomudo/a (025)",84,5,15,20,9,20,10,3,2
,,,,,,,,,
"URBANA (027)",86905,3509,19429,16781,12197,11834,9476,5910,7769
"Quechua (028)",155,7,40,30,19,21,14,12,12
"Aymara (029)",11,1,3,4,1,,,1,1
"Ashaninca (030)",5,,1,2,,,2,,
"Otra lengua nativa (031)",86,1,14,17,11,15,9,9,10
"Castellano (032)",86523,3492,19340,16713,12155,11773,9433,5878,7739
"Idioma extranjero (033)",32,,,2,3,5,9,9,4
"Es sordomudo/a (034)",93,8,31,13,8,20,9,1,3
"Hombres (036)",43412,1784,9854,8534,5735,5653,4732,3038,4082
"Quechua (037)",80,4,17,20,8,10,9,5,7
"Aymara (038)",5,,2,1,1,,,1,
"Ashaninca (039)",2,,1,,,,1,,
"Otra lengua nativa (040)",48,1,9,10,5,9,4,6,4
"Castellano (041)",43207,1775,9801,8494,5715,5621,4714,3022,4065
"Idioma extranjero (042)",12,,,1,,2,2,4,3
"Es sordomudo/a (043)",58,4,24,8,6,11,2,,3
"Mujeres (045)",43493,1725,9575,8247,6462,6181,4744,2872,3687
"Quechua (046)",75,3,23,10,11,11,5,7,5
"Aymara (047)",6,1,1,3,,,,,1
"Ashaninca (048)",3,,,2,,,1,,
"Otra lengua nativa (049)",38,,5,7,6,6,5,3,6
"Castellano (050)",43316,1717,9539,8219,6440,6152,4719,2856,3674
"Idioma extranjero (051)",20,,,1,3,3,7,5,1
"Es sordomudo/a (052)",35,4,7,5,2,9,7,1,
,,,,,,,,,
"RURAL (054)",63745,3099,16639,11575,8142,7737,6318,4336,5899
"Quechua (055)",16,2,6,,2,2,4,,
"Aymara (056)",9,3,2,,1,1,,2,
"Ashaninca (057)",5,,3,,,,,1,1
"Otra lengua nativa (058)",57,3,18,9,13,5,4,2,3
"Castellano (059)",63542,3088,16583,11540,8106,7709,6303,4324,5889
"Es sordomudo/a (061)",116,3,27,26,20,20,7,7,6
"Hombres (063)",32974,1598,8566,6235,4118,3925,3255,2201,3076
"Quechua (064)",10,2,4,,2,1,1,,
"Aymara (065)",2,,,,,,,2,
"Ashaninca (066)",3,,2,,,,,,1
"Otra lengua nativa (067)",32,3,8,5,7,3,2,2,2
"Castellano (068)",32860,1591,8533,6219,4096,3912,3248,2192,3069
"Es sordomudo/a (070)",67,2,19,11,13,9,4,5,4
"Mujeres (072)",30771,1501,8073,5340,4024,3812,3063,2135,2823
"Quechua (073)",6,,2,,,1,3,,
"Aymara (074)",7,3,2,,1,1,,,
"Ashaninca (075)",2,,1,,,,,1,
"Otra lengua nativa (076)",25,,10,4,6,2,2,,1
"Castellano (077)",30682,1497,8050,5321,4010,3797,3055,2132,2820
"Es sordomudo/a (079)",49,1,8,15,7,11,3,2,2
