"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARINACOCHAS (000)",10001,7612,1055,710,624
"Empleado (001)",2025,542,492,454,537
"Obrero (002)",1811,1235,255,235,86
"Trabajador independiente (003)",4470,4261,209,,
"Empleador o patrono (004)",98,76,10,12,
"Trabajador familiar no remunerado (005)",1407,1308,89,9,1
"Trabajador del hogar (006)",190,190,,,
"De 06 a 14 años (008)",198,177,15,6,
"Empleado (009)",4,3,,1,
"Obrero (010)",24,17,3,4,
"Trabajador independiente (011)",27,24,3,,
"Trabajador familiar no remunerado (013)",128,118,9,1,
"Trabajador del hogar (014)",15,15,,,
"De 15 a 29 años (016)",2992,2294,329,213,156
"Empleado (017)",479,168,90,98,123
"Obrero (018)",740,482,116,109,33
"Trabajador independiente (019)",1186,1103,83,,
"Empleador o patrono (020)",21,17,2,2,
"Trabajador familiar no remunerado (021)",450,408,38,4,
"Trabajador del hogar (022)",116,116,,,
"De 30 a 44 años (024)",3331,2304,454,312,261
"Empleado (025)",951,241,264,219,227
"Obrero (026)",597,378,96,89,34
"Trabajador independiente (027)",1409,1336,73,,
"Empleador o patrono (028)",32,26,3,3,
"Trabajador familiar no remunerado (029)",309,290,18,1,
"Trabajador del hogar (030)",33,33,,,
"De 45 a 64 años (032)",2545,1952,223,169,201
"Empleado (033)",572,123,134,133,182
"Obrero (034)",347,267,33,29,18
"Trabajador independiente (035)",1234,1198,36,,
"Empleador o patrono (036)",25,16,4,5,
"Trabajador familiar no remunerado (037)",344,325,16,2,1
"Trabajador del hogar (038)",23,23,,,
"De 65 y más años (040)",935,885,34,10,6
"Empleado (041)",19,7,4,3,5
"Obrero (042)",103,91,7,4,1
"Trabajador independiente (043)",614,600,14,,
"Empleador o patrono (044)",20,17,1,2,
"Trabajador familiar no remunerado (045)",176,167,8,1,
"Trabajador del hogar (046)",3,3,,,
,,,,,
"URBANA (048)",6061,4269,686,546,560
"Empleado (049)",1711,418,395,396,502
"Obrero (050)",991,668,128,138,57
"Trabajador independiente (051)",2602,2468,134,,
"Empleador o patrono (052)",50,35,7,8,
"Trabajador familiar no remunerado (053)",543,516,22,4,1
"Trabajador del hogar (054)",164,164,,,
"De 06 a 14 años (056)",128,113,10,5,
"Empleado (057)",2,1,,1,
