"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CONTUMAZA (000)",936,36,457,253,145,45
"Sin nivel (001)",29,2,15,5,4,3
"Primaria (003)",502,30,191,130,112,39
"Secundaria (004)",257,4,168,65,18,2
"Superior no univ. incompleta (005)",21,,14,7,,
"Superior no univ. completa (006)",97,,55,37,5,
"Superior univ. incompleta (007)",10,,6,2,2,
"Superior univ. completa (008)",20,,8,7,4,1
"Hombres (010)",778,24,355,220,136,43
"Sin nivel (011)",23,1,12,4,4,2
"Primaria (013)",450,21,162,120,109,38
"Secundaria (014)",221,2,141,60,16,2
"Superior no univ. incompleta (015)",15,,8,7,,
"Superior no univ. completa (016)",53,,26,24,3,
"Superior univ. incompleta (017)",6,,4,1,1,
"Superior univ. completa (018)",10,,2,4,3,1
"Mujeres (020)",158,12,102,33,9,2
"Sin nivel (021)",6,1,3,1,,1
"Primaria (023)",52,9,29,10,3,1
"Secundaria (024)",36,2,27,5,2,
"Superior no univ. incompleta (025)",6,,6,,,
"Superior no univ. completa (026)",44,,29,13,2,
"Superior univ. incompleta (027)",4,,2,1,1,
"Superior univ. completa (028)",10,,6,3,1,
,,,,,,
"Area Urbana (030)",375,4,195,107,53,16
"Sin nivel (031)",10,,5,2,1,2
"Primaria (033)",96,2,24,29,29,12
"Secundaria (034)",146,2,97,32,14,1
"Superior no univ. incompleta (035)",18,,13,5,,
"Superior no univ. completa (036)",78,,44,30,4,
"Superior univ. incompleta (037)",8,,5,2,1,
"Superior univ. completa (038)",19,,7,7,4,1
"Hombres (040)",279,3,132,83,46,15
"Sin nivel (041)",9,,5,2,1,1
"Primaria (043)",81,1,18,23,27,12
"Secundaria (044)",122,2,78,29,12,1
"Superior no univ. incompleta (045)",12,,7,5,,
"Superior no univ. completa (046)",40,,19,19,2,
"Superior univ. incompleta (047)",5,,3,1,1,
"Superior univ. completa (048)",10,,2,4,3,1
"Mujeres (050)",96,1,63,24,7,1
"Sin nivel (051)",1,,,,,1
"Primaria (053)",15,1,6,6,2,
"Secundaria (054)",24,,19,3,2,
"Superior no univ. incompleta (055)",6,,6,,,
"Superior no univ. completa (056)",38,,25,11,2,
"Superior univ. incompleta (057)",3,,2,1,,
"Superior univ. completa (058)",9,,5,3,1,
,,,,,,
"Area Rural (060)",561,32,262,146,92,29
"Sin nivel (061)",19,2,10,3,3,1
"Primaria (063)",406,28,167,101,83,27
"Secundaria (064)",111,2,71,33,4,1
"Superior no univ. incompleta (065)",3,,1,2,,
"Superior no univ. completa (066)",19,,11,7,1,
"Superior univ. incompleta (067)",2,,1,,1,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",499,21,223,137,90,28
"Sin nivel (071)",14,1,7,2,3,1
"Primaria (073)",369,20,144,97,82,26
"Secundaria (074)",99,,63,31,4,1
"Superior no univ. incompleta (075)",3,,1,2,,
"Superior no univ. completa (076)",13,,7,5,1,
"Superior univ. incompleta (077)",1,,1,,,
"Mujeres (080)",62,11,39,9,2,1
"Sin nivel (081)",5,1,3,1,,
"Primaria (083)",37,8,23,4,1,1
"Secundaria (084)",12,2,8,2,,
"Superior no univ. completa (086)",6,,4,2,,
"Superior univ. incompleta (087)",1,,,,1,
"Superior univ. completa (088)",1,,1,,,
