"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANCHEZ CARRION (000)",136221,3762,54308,33389,21851,15653,7258
"Hombres (001)",66321,1883,27402,16043,10245,7398,3350
"Mujeres (002)",69900,1879,26906,17346,11606,8255,3908
"Viviendas particulares (003)",135592,3759,54276,33115,21663,15545,7234
"Hombres (004)",65847,1883,27382,15830,10104,7317,3331
"Mujeres (005)",69745,1876,26894,17285,11559,8228,3903
"Viviendas colectivas (006)",507,3,24,233,156,73,18
"Hombres (007)",382,,13,187,116,53,13
"Mujeres (008)",125,3,11,46,40,20,5
"Otro tipo (009)",122,,8,41,32,35,6
"Hombres (010)",92,,7,26,25,28,6
"Mujeres (011)",30,,1,15,7,7,
,,,,,,,
"URBANA (012)",36585,802,12728,10100,6691,4459,1805
"Hombres (013)",17439,400,6383,4780,3012,2035,829
"Mujeres (014)",19146,402,6345,5320,3679,2424,976
"Viviendas particulares (015)",35959,799,12696,9827,6505,4351,1781
"Hombres (016)",16965,400,6363,4567,2871,1954,810
"Mujeres (017)",18994,399,6333,5260,3634,2397,971
"Viviendas colectivas (018)",504,3,24,232,154,73,18
"Hombres (019)",382,,13,187,116,53,13
"Mujeres (020)",122,3,11,45,38,20,5
"Otro tipo (021)",122,,8,41,32,35,6
"Hombres (022)",92,,7,26,25,28,6
"Mujeres (023)",30,,1,15,7,7,
,,,,,,,
"RURAL (024)",99636,2960,41580,23289,15160,11194,5453
"Hombres (025)",48882,1483,21019,11263,7233,5363,2521
"Mujeres (026)",50754,1477,20561,12026,7927,5831,2932
"Viviendas particulares (027)",99633,2960,41580,23288,15158,11194,5453
"Hombres (028)",48882,1483,21019,11263,7233,5363,2521
"Mujeres (029)",50751,1477,20561,12025,7925,5831,2932
"Viviendas colectivas (030)",3,,,1,2,,
"Mujeres (032)",3,,,1,2,,
