"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHOTA (000)",45396,766,14405,15075,10937,4213
"Agric., ganadería, caza y silvicultura (001)",31579,621,10101,9435,7785,3637
"Explotación de minas y canteras (003)",338,,128,159,50,1
"Industrias manufactureras (004)",1659,22,647,570,326,94
"Suministro de electricidad, gas y agua (005)",48,,12,24,11,1
"Construcción (006)",954,5,277,384,262,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2414,39,652,931,610,182
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,2,45,40,13,6
"Comercio al por mayor (009)",63,,18,21,20,4
"Comercio al por menor (010)",2245,37,589,870,577,172
"Hoteles y restaurantes (011)",603,20,229,171,148,35
"Trans., almac. y comunicaciones (012)",902,8,460,317,108,9
"Intermediación financiera (013)",23,,14,5,4,
"Activid.inmobil., empres. y alquileres (014)",422,1,163,172,80,6
"Admin.pub. y defensa; p. segur.soc.afil (015)",810,,204,346,245,15
"Enseñanza (016)",2754,,453,1585,705,11
"Servicios sociales y de salud (017)",591,,158,311,115,7
"Otras activ. serv.comun.soc y personales (018)",399,7,136,139,99,18
"Hogares privados con servicio doméstico (019)",662,37,372,134,92,27
"Actividad economica no especificada (021)",1238,6,399,392,297,144
"Hombres (022)",35719,563,11168,11597,8767,3624
"Agric., ganadería, caza y silvicultura (023)",27885,488,8928,8294,6852,3323
"Explotación de minas y canteras (025)",321,,119,151,50,1
"Industrias manufactureras (026)",768,8,233,292,173,62
"Suministro de electricidad, gas y agua (027)",47,,11,24,11,1
"Construcción (028)",940,5,269,380,260,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1247,28,323,465,334,97
"Venta, mant.y rep. veh.autom.y motoc. (030)",97,1,40,37,13,6
"Comercio al por mayor (031)",45,,12,15,16,2
"Comercio al por menor (032)",1105,27,271,413,305,89
"Hoteles y restaurantes (033)",161,12,73,40,30,6
"Trans., almac. y comunicaciones (034)",856,8,429,311,99,9
"Intermediación financiera (035)",14,,10,2,2,
"Activid.inmobil., empres. y alquileres (036)",327,1,113,138,69,6
"Admin.pub. y defensa; p. segur.soc.afil (037)",639,,142,268,214,15
"Enseñanza (038)",1585,,219,899,457,10
"Servicios sociales y de salud (039)",265,,69,132,57,7
"Otras activ. serv.comun.soc y personales (040)",224,5,69,80,61,9
"Hogares privados con servicio doméstico (041)",36,4,18,7,4,3
