"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia AZANGARO (000)",51974,50266,17111,5294,5214,4622,7581,5394,5050,1708
"Católica (001)",42735,41302,14247,4375,4304,3757,6140,4370,4109,1433
"Cristiana/Evangélica (002)",4188,4059,1212,416,394,383,660,500,494,129
"Otra (003)",4087,3982,1236,405,425,405,661,456,394,105
"Ninguna (004)",964,923,416,98,91,77,120,68,53,41
,,,,,,,,,,
"URBANA (006)",14031,13520,4847,1801,1794,1434,1810,1048,786,511
"Católica (007)",11701,11287,4067,1493,1522,1200,1494,861,650,414
"Cristiana/Evangélica (008)",1005,967,314,126,113,108,145,91,70,38
"Otra (009)",1078,1038,360,143,127,114,151,84,59,40
"Ninguna (010)",247,228,106,39,32,12,20,12,7,19
,,,,,,,,,,
"RURAL (012)",37943,36746,12264,3493,3420,3188,5771,4346,4264,1197
"Católica (013)",31034,30015,10180,2882,2782,2557,4646,3509,3459,1019
"Cristiana/Evangélica (014)",3183,3092,898,290,281,275,515,409,424,91
"Otra (015)",3009,2944,876,262,298,291,510,372,335,65
"Ninguna (016)",717,695,310,59,59,65,100,56,46,22
