"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",98918,6407,1456,53514,26998,2575,3983,1475,2510
"Hombres (001)",51323,2040,760,27742,15211,1254,1949,877,1490
"Mujeres (002)",47595,4367,696,25772,11787,1321,2034,598,1020
"PEA (003)",42629,1957,72,20295,12771,1459,3185,808,2082
"Hombres (004)",31386,1247,56,15895,9757,857,1715,551,1308
"Mujeres (005)",11243,710,16,4400,3014,602,1470,257,774
"Ocupada (006)",41625,1901,69,19865,12428,1411,3124,782,2045
"Hombres (007)",30652,1205,53,15560,9512,827,1677,533,1285
"Mujeres (008)",10973,696,16,4305,2916,584,1447,249,760
"Desocupada (009)",1004,56,3,430,343,48,61,26,37
"Hombres (010)",734,42,3,335,245,30,38,18,23
"Mujeres (011)",270,14,,95,98,18,23,8,14
"No PEA (012)",56289,4450,1384,33219,14227,1116,798,667,428
"Hombres (013)",19937,793,704,11847,5454,397,234,326,182
"Mujeres (014)",36352,3657,680,21372,8773,719,564,341,246
,,,,,,,,,
"URBANA (018)",60085,2411,716,26811,20059,2397,3831,1395,2465
"Hombres (019)",30163,671,378,13092,10769,1129,1853,813,1458
"Mujeres (020)",29922,1740,338,13719,9290,1268,1978,582,1007
"PEA (021)",26983,727,25,9543,9444,1354,3074,770,2046
"Hombres (022)",17938,358,18,6631,6739,770,1631,515,1276
"Mujeres (023)",9045,369,7,2912,2705,584,1443,255,770
"Ocupada (024)",26273,702,23,9303,9163,1310,3017,745,2010
"Hombres (025)",17457,342,16,6459,6548,744,1596,498,1254
"Mujeres (026)",8816,360,7,2844,2615,566,1421,247,756
"Desocupada (027)",710,25,2,240,281,44,57,25,36
"Hombres (028)",481,16,2,172,191,26,35,17,22
"Mujeres (029)",229,9,,68,90,18,22,8,14
"No PEA (030)",33102,1684,691,17268,10615,1043,757,625,419
"Hombres (031)",12225,313,360,6461,4030,359,222,298,182
"Mujeres (032)",20877,1371,331,10807,6585,684,535,327,237
,,,,,,,,,
"RURAL (036)",38833,3996,740,26703,6939,178,152,80,45
"Hombres (037)",21160,1369,382,14650,4442,125,96,64,32
"Mujeres (038)",17673,2627,358,12053,2497,53,56,16,13
"PEA (039)",15646,1230,47,10752,3327,105,111,38,36
"Hombres (040)",13448,889,38,9264,3018,87,84,36,32
"Mujeres (041)",2198,341,9,1488,309,18,27,2,4
"Ocupada (042)",15352,1199,46,10562,3265,101,107,37,35
"Hombres (043)",13195,863,37,9101,2964,83,81,35,31
"Mujeres (044)",2157,336,9,1461,301,18,26,2,4
"Desocupada (045)",294,31,1,190,62,4,4,1,1
"Hombres (046)",253,26,1,163,54,4,3,1,1
"Mujeres (047)",41,5,,27,8,,1,,
"No PEA (048)",23187,2766,693,15951,3612,73,41,42,9
"Hombres (049)",7712,480,344,5386,1424,38,12,28,
"Mujeres (050)",15475,2286,349,10565,2188,35,29,14,9
