"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAYLAS (000)",13886,148,5119,4976,1644,542,229,98,9,,1121
"Catolica (001)",12213,122,4479,4376,1465,489,208,88,7,,979
"Cristiana / Evangelica (002)",1456,23,565,524,147,42,16,10,1,,128
"Otra (003)",155,2,52,56,21,10,2,,1,,11
"Ninguna (004)",62,1,23,20,11,1,3,,,,3
,,,,,,,,,,,
"URBANA (006)",4903,43,1621,1653,776,260,124,42,3,,381
"Catolica (007)",4276,34,1400,1433,684,236,113,40,2,,334
"Cristiana / Evangelica (008)",461,7,166,162,66,14,9,2,,,35
"Otra (009)",117,1,37,43,16,9,1,,1,,9
"Ninguna (010)",49,1,18,15,10,1,1,,,,3
,,,,,,,,,,,
"RURAL (012)",8983,105,3498,3323,868,282,105,56,6,,740
"Catolica (013)",7937,88,3079,2943,781,253,95,48,5,,645
"Cristiana / Evangelica (014)",995,16,399,362,81,28,7,8,1,,93
"Otra (015)",38,1,15,13,5,1,1,,,,2
"Ninguna (016)",13,,5,5,1,,2,,,,
