"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PACASMAYO (000)",89195,10059,2376,28302,27117,4941,8431,2967,5002
"Quechua (001)",96,11,1,34,23,7,8,6,6
"Aymara (002)",21,2,4,7,1,3,1,,3
"Ashaninca (003)",8,1,,3,3,,1,,
"Otra lengua nativa (004)",66,18,1,10,14,7,4,6,6
"Castellano (005)",88903,9961,2367,28237,27066,4923,8416,2955,4978
"Idioma extranjero (006)",15,,1,,4,1,,,9
"Es sordomudo/a (007)",86,66,2,11,6,,1,,
"Hombres (009)",44038,3996,1177,13830,14396,2502,3921,1582,2634
"Quechua (010)",55,5,,15,15,7,7,3,3
"Aymara (011)",11,,1,4,,3,,,3
"Ashaninca (012)",7,1,,3,2,,1,,
"Otra lengua nativa (013)",35,10,1,4,7,5,1,4,3
"Castellano (014)",43887,3952,1174,13802,14367,2487,3911,1575,2619
"Idioma extranjero (015)",9,,1,,2,,,,6
"Es sordomudo/a (016)",34,28,,2,3,,1,,
"Mujeres (018)",45157,6063,1199,14472,12721,2439,4510,1385,2368
"Quechua (019)",41,6,1,19,8,,1,3,3
"Aymara (020)",10,2,3,3,1,,1,,
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",31,8,,6,7,2,3,2,3
"Castellano (023)",45016,6009,1193,14435,12699,2436,4505,1380,2359
"Idioma extranjero (024)",6,,,,2,1,,,3
"Es sordomudo/a (025)",52,38,2,9,3,,,,
,,,,,,,,,
"URBANA (027)",82958,8988,2213,25548,25436,4741,8175,2901,4956
"Quechua (028)",90,8,1,31,23,7,8,6,6
"Aymara (029)",21,2,4,7,1,3,1,,3
"Ashaninca (030)",8,1,,3,3,,1,,
"Otra lengua nativa (031)",65,17,1,10,14,7,4,6,6
"Castellano (032)",82683,8902,2204,25487,25386,4723,8160,2889,4932
"Idioma extranjero (033)",15,,1,,4,1,,,9
"Es sordomudo/a (034)",76,58,2,10,5,,1,,
"Hombres (036)",40813,3572,1083,12399,13434,2388,3796,1546,2595
"Quechua (037)",50,2,,13,15,7,7,3,3
"Aymara (038)",11,,1,4,,3,,,3
"Ashaninca (039)",7,1,,3,2,,1,,
"Otra lengua nativa (040)",35,10,1,4,7,5,1,4,3
"Castellano (041)",40672,3535,1080,12373,13406,2373,3786,1539,2580
"Idioma extranjero (042)",9,,1,,2,,,,6
"Es sordomudo/a (043)",29,24,,2,2,,1,,
"Mujeres (045)",42145,5416,1130,13149,12002,2353,4379,1355,2361
"Quechua (046)",40,6,1,18,8,,1,3,3
"Aymara (047)",10,2,3,3,1,,1,,
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",30,7,,6,7,2,3,2,3
"Castellano (050)",42011,5367,1124,13114,11980,2350,4374,1350,2352
"Idioma extranjero (051)",6,,,,2,1,,,3
"Es sordomudo/a (052)",47,34,2,8,3,,,,
,,,,,,,,,
"RURAL (054)",6237,1071,163,2754,1681,200,256,66,46
"Quechua (055)",6,3,,3,,,,,
"Otra lengua nativa (058)",1,1,,,,,,,
"Castellano (059)",6220,1059,163,2750,1680,200,256,66,46
"Es sordomudo/a (061)",10,8,,1,1,,,,
"Hombres (063)",3225,424,94,1431,962,114,125,36,39
"Quechua (064)",5,3,,2,,,,,
"Castellano (068)",3215,417,94,1429,961,114,125,36,39
"Es sordomudo/a (070)",5,4,,,1,,,,
"Mujeres (072)",3012,647,69,1323,719,86,131,30,7
"Quechua (073)",1,,,1,,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",3005,642,69,1321,719,86,131,30,7
"Es sordomudo/a (079)",5,4,,1,,,,,
