"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SIHUAS (000)",21516,5482,1718,197,14127
"Conviviente (001)",4922,929,346,36,3614
"Separado(a) (002)",526,92,36,3,396
"Casado(a) (003)",6638,1032,743,59,4806
"Viudo(a) (004)",1105,141,36,3,926
"Divorciado(a) (005)",52,9,3,,40
"Soltero(a) (006)",8273,3279,554,96,4345
"Hombres (008)",10483,2470,849,122,7047
"Conviviente (009)",2396,330,169,25,1874
"Separado(a) (010)",85,6,11,1,67
"Casado(a) (011)",3289,427,383,37,2444
"Viudo(a) (012)",247,25,5,,217
"Divorciado(a) (013)",22,3,,,19
"Soltero(a) (014)",4444,1679,281,59,2426
"Mujeres (016)",11033,3012,869,75,7080
"Conviviente (017)",2526,599,177,11,1740
"Separado(a) (018)",441,86,25,2,329
"Casado(a) (019)",3349,605,360,22,2362
"Viudo(a) (020)",858,116,31,3,709
"Divorciado(a) (021)",30,6,3,,21
"Soltero(a) (022)",3829,1600,273,37,1919
,,,,,
"URBANA (024)",5959,933,1373,124,3535
"Conviviente (025)",1274,124,274,28,850
"Separado(a) (026)",176,26,34,3,114
"Casado(a) (027)",1839,154,604,48,1035
"Viudo(a) (028)",273,23,31,3,217
"Divorciado(a) (029)",22,3,2,,17
"Soltero(a) (030)",2375,603,428,42,1302
"Hombres (032)",2953,437,670,80,1769
"Conviviente (033)",623,43,135,20,426
"Separado(a) (034)",39,3,11,1,24
"Casado(a) (035)",930,68,304,31,529
"Viudo(a) (036)",67,8,4,,55
"Divorciado(a) (037)",8,2,,,6
"Soltero(a) (038)",1286,313,216,28,729
"Mujeres (040)",3006,496,703,44,1766
"Conviviente (041)",651,81,139,8,424
"Separado(a) (042)",137,23,23,2,90
"Casado(a) (043)",909,86,300,17,506
"Viudo(a) (044)",206,15,27,3,162
"Divorciado(a) (045)",14,1,2,,11
"Soltero(a) (046)",1089,290,212,14,573
,,,,,
"RURAL (048)",15557,4549,345,73,10592
"Conviviente (049)",3648,805,72,8,2764
"Separado(a) (050)",350,66,2,,282
"Casado(a) (051)",4799,878,139,11,3771
"Viudo(a) (052)",832,118,5,,709
"Divorciado(a) (053)",30,6,1,,23
"Soltero(a) (054)",5898,2676,126,54,3043
"Hombres (056)",7530,2033,179,42,5278
"Conviviente (057)",1773,287,34,5,1448
"Separado(a) (058)",46,3,,,43
"Casado(a) (059)",2359,359,79,6,1915
"Viudo(a) (060)",180,17,1,,162
"Divorciado(a) (061)",14,1,,,13
"Soltero(a) (062)",3158,1366,65,31,1697
"Mujeres (064)",8027,2516,166,31,5314
"Conviviente (065)",1875,518,38,3,1316
"Separado(a) (066)",304,63,2,,239
"Casado(a) (067)",2440,519,60,5,1856
"Viudo(a) (068)",652,101,4,,547
"Divorciado(a) (069)",16,5,1,,10
"Soltero(a) (070)",2740,1310,61,23,1346
