"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTABAMBA (000)",3290,40,1302,1024,395,137,69,23,3,,297
"Catolica (001)",2866,36,1120,884,363,119,61,18,2,,263
"Cristiana / Evangelica (002)",361,2,161,122,26,15,6,4,,,25
"Otra (003)",40,2,12,12,3,2,1,1,,,7
"Ninguna (004)",23,,9,6,3,1,1,,1,,2
,,,,,,,,,,,
"URBANA (006)",2292,30,893,702,273,113,49,16,2,,214
"Catolica (007)",2043,26,781,629,256,99,46,12,1,,193
"Cristiana / Evangelica (008)",195,2,94,59,11,12,1,3,,,13
"Otra (009)",33,2,9,10,3,1,1,1,,,6
"Ninguna (010)",21,,9,4,3,1,1,,1,,2
,,,,,,,,,,,
"RURAL (012)",998,10,409,322,122,24,20,7,1,,83
"Catolica (013)",823,10,339,255,107,20,15,6,1,,70
"Cristiana / Evangelica (014)",166,,67,63,15,3,5,1,,,12
"Otra (015)",7,,3,2,,1,,,,,1
"Ninguna (016)",2,,,2,,,,,,,
