"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia QUISPICANCHI (000)",40474,6385,12910,10185,10994
"Asiste actualmente (001)",27108,2442,11936,9075,3655
"No asiste (002)",13366,3943,974,1110,7339
"Hombres (004)",20778,3202,6545,5360,5671
"Asiste actualmente (005)",14397,1227,6066,4923,2181
"No asiste (006)",6381,1975,479,437,3490
"Mujeres (008)",19696,3183,6365,4825,5323
"Asiste actualmente (009)",12711,1215,5870,4152,1474
"No asiste (010)",6985,1968,495,673,3849
,,,,,
"URBANA (012)",13462,1818,3857,3646,4141
"Asiste actualmente (013)",9789,865,3694,3440,1790
"No asiste (014)",3673,953,163,206,2351
"Hombres (016)",6883,905,1966,1906,2106
"Asiste actualmente (017)",5075,440,1878,1807,950
"No asiste (018)",1808,465,88,99,1156
"Mujeres (020)",6579,913,1891,1740,2035
"Asiste actualmente (021)",4714,425,1816,1633,840
"No asiste (022)",1865,488,75,107,1195
,,,,,
"RURAL (024)",27012,4567,9053,6539,6853
"Asiste actualmente (025)",17319,1577,8242,5635,1865
"No asiste (026)",9693,2990,811,904,4988
"Hombres (028)",13895,2297,4579,3454,3565
"Asiste actualmente (029)",9322,787,4188,3116,1231
"No asiste (030)",4573,1510,391,338,2334
"Mujeres (032)",13117,2270,4474,3085,3288
"Asiste actualmente (033)",7997,790,4054,2519,634
"No asiste (034)",5120,1480,420,566,2654
