"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANTA (000)",4013,2353,1660
"Red pública de desague dentro de la vivienda (001)",1050,896,154
"Red pública de desague fuera de la vivienda (002)",188,169,19
"Pozo séptico (003)",377,200,177
"Pozo ciego o negro / letrina (004)",590,181,409
"Río, acequia o canal (005)",60,10,50
"No tiene (006)",1748,897,851
,,,
"URBANA (008)",1959,1744,215
"Red pública de desague dentro de la vivienda (009)",805,769,36
"Red pública de desague fuera de la vivienda (010)",166,157,9
"Pozo séptico (011)",73,69,4
"Pozo ciego o negro / letrina (012)",93,81,12
"Río, acequia o canal (013)",10,8,2
"No tiene (014)",812,660,152
,,,
"RURAL (016)",2054,609,1445
"Red pública de desague dentro de la vivienda (017)",245,127,118
"Red pública de desague fuera de la vivienda (018)",22,12,10
"Pozo séptico (019)",304,131,173
"Pozo ciego o negro / letrina (020)",497,100,397
"Río, acequia o canal (021)",50,2,48
"No tiene (022)",936,237,699
