"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAJATAMBO (000)",2464,1722,742
"Red pública de desague dentro de la vivienda (001)",529,517,12
"Red pública de desague fuera de la vivienda (002)",65,62,3
"Pozo séptico (003)",24,18,6
"Pozo ciego o negro / letrina (004)",99,83,16
"Río, acequia o canal (005)",39,18,21
"No tiene (006)",1708,1024,684
,,,
"URBANA (008)",1475,1304,171
"Red pública de desague dentro de la vivienda (009)",515,503,12
"Red pública de desague fuera de la vivienda (010)",63,61,2
"Pozo séptico (011)",11,10,1
"Pozo ciego o negro / letrina (012)",56,54,2
"Río, acequia o canal (013)",21,13,8
"No tiene (014)",809,663,146
,,,
"RURAL (016)",989,418,571
"Red pública de desague dentro de la vivienda (017)",14,14,
"Red pública de desague fuera de la vivienda (018)",2,1,1
"Pozo séptico (019)",13,8,5
"Pozo ciego o negro / letrina (020)",43,29,14
"Río, acequia o canal (021)",18,5,13
"No tiene (022)",899,361,538
