"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHEROS (000)",11857,9671,824,616,746
"Empleado (001)",1787,413,312,405,657
"Obrero (002)",2853,2368,248,154,83
"Trabajador independiente (003)",5507,5339,168,,
"Empleador o patrono (004)",90,74,8,6,2
"Trabajador familiar no remunerado (005)",1476,1333,88,51,4
"Trabajador del hogar (006)",144,144,,,
"De 06 a 14 años (008)",163,148,12,2,1
"Empleado (009)",5,5,,,
"Obrero (010)",41,33,6,1,1
"Trabajador independiente (011)",12,11,1,,
"Trabajador familiar no remunerado (013)",100,94,5,1,
"Trabajador del hogar (014)",5,5,,,
"De 15 a 29 años (016)",3272,2651,260,153,208
"Empleado (017)",467,125,88,84,170
"Obrero (018)",1007,815,102,53,37
"Trabajador independiente (019)",1104,1066,38,,
"Empleador o patrono (020)",24,21,1,2,
"Trabajador familiar no remunerado (021)",594,548,31,14,1
"Trabajador del hogar (022)",76,76,,,
"De 30 a 44 años (024)",4332,3295,351,283,403
"Empleado (025)",958,203,162,220,373
"Obrero (026)",909,752,82,48,27
"Trabajador independiente (027)",2020,1949,71,,
"Empleador o patrono (028)",38,29,5,2,2
"Trabajador familiar no remunerado (029)",373,328,31,13,1
"Trabajador del hogar (030)",34,34,,,
"De 45 a 64 años (032)",3063,2603,167,163,130
"Empleado (033)",352,79,61,100,112
"Obrero (034)",726,619,44,47,16
"Trabajador independiente (035)",1664,1620,44,,
"Empleador o patrono (036)",21,18,1,2,
"Trabajador familiar no remunerado (037)",276,243,17,14,2
"Trabajador del hogar (038)",24,24,,,
"De 65 y más años (040)",1027,974,34,15,4
"Empleado (041)",5,1,1,1,2
"Obrero (042)",170,149,14,5,2
"Trabajador independiente (043)",707,693,14,,
"Empleador o patrono (044)",7,6,1,,
"Trabajador familiar no remunerado (045)",133,120,4,9,
"Trabajador del hogar (046)",5,5,,,
,,,,,
"URBANA (048)",4796,3392,393,403,608
"Empleado (049)",1388,267,228,333,560
"Obrero (050)",770,599,67,59,45
"Trabajador independiente (051)",2053,1986,67,,
"Empleador o patrono (052)",57,42,7,6,2
"Trabajador familiar no remunerado (053)",443,413,24,5,1
"Trabajador del hogar (054)",85,85,,,
"De 06 a 14 años (056)",67,65,2,,
