"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PAUCARTAMBO (000)",14944,48058,39904,,1056,83,2.2
"De 12 a 14 años (001)",1927,11,10,,1,90.9,9.1
"De 15 a 19 años (002)",1935,460,447,150,97.2,32.6,
"De 20 a 24 años (003)",1636,2134,2024,256,94.8,12,
"De 25 a 29 años (004)",1563,3846,3588,242,93.3,6.3,
"De 30 a 34 años (005)",1486,5412,4893,208,90.4,3.8,
"De 35 a 39 años (006)",1349,6261,5613,133,89.7,2.1,
"De 40 a 44 años (007)",1173,6445,5553,52,86.2,0.8,
"De 45 a 49 años (008)",929,5610,4595,14,81.9,0.2,
"De 50 y más años (009)",2946,17879,13181,,73.7,,
"PEA (010)",5113,17792,15032,355,84.5,2,
"De 12 a 14 años (011)",151,3,3,1,100,33.3,
"De 15 a 19 años (012)",540,167,163,51,97.6,30.5,
"De 20 a 24 años (013)",675,813,773,90,95.1,11.1,
"De 25 a 29 años (014)",632,1411,1326,74,94,5.2,
"De 30 a 34 años (015)",590,1972,1782,71,90.4,3.6,
"De 35 a 39 años (016)",594,2593,2366,48,91.2,1.9,
"De 40 a 44 años (017)",502,2532,2179,16,86.1,0.6,
"De 45 a 49 años (018)",407,2269,1902,4,83.8,0.2,
"De 50 y más años (019)",1022,6032,4538,,75.2,,
"Ocupada (020)",5007,17643,14897,347,84.4,2,
"De 12 a 14 años (021)",146,3,3,1,100,33.3,
"De 15 a 19 años (022)",512,162,158,49,97.5,30.2,
"De 20 a 24 años (023)",644,788,749,87,95.1,11,
"De 25 a 29 años (024)",619,1395,1312,72,94.1,5.2,
"De 30 a 34 años (025)",584,1959,1770,70,90.4,3.6,
"De 35 a 39 años (026)",587,2575,2353,48,91.4,1.9,
"De 40 a 44 años (027)",493,2496,2145,16,85.9,0.6,
"De 45 a 49 años (028)",405,2256,1889,4,83.7,0.2,
"De 50 y más años (029)",1017,6009,4518,,75.2,,
"Desocupada (030)",106,149,135,8,90.6,5.4,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",28,5,5,2,100,40,
"De 20 a 24 años (033)",31,25,24,3,96,12,
"De 25 a 29 años (034)",13,16,14,2,87.5,12.5,
"De 30 a 34 años (035)",6,13,12,1,92.3,7.7,
"De 35 a 39 años (036)",7,18,13,,72.2,,
