"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARAVELI (000)",8597,141,3355,2722,863,316,152,41,4,,1003
"Sin Nivel (001)",1198,49,545,299,96,36,28,7,1,,137
"Educación Inicial (002)",13,,4,2,2,,,,,,5
"Primaria (003)",2223,47,1067,659,175,55,30,17,1,,172
"Secundaria (004)",3059,24,1256,1058,228,78,34,10,2,,369
"Sup. no Univ. Incompleta (005)",540,3,142,204,68,22,10,1,,,90
"Sup. no Univ. Completa (006)",715,12,160,247,135,45,15,1,,,100
"Sup. Univ. Incompleta (007)",210,,59,73,29,11,3,,,,35
"Sup. Univ. Completa (008)",639,6,122,180,130,69,32,5,,,95
,,,,,,,,,,,
"URBANA (010)",5979,102,2269,1876,661,246,119,30,3,,673
"Sin Nivel (011)",701,33,303,173,62,22,18,5,1,,84
"Educación Inicial (012)",10,,2,1,2,,,,,,5
"Primaria (013)",1398,33,683,399,120,36,22,11,,,94
"Secundaria (014)",2150,17,886,739,172,63,26,7,2,,238
"Sup. no Univ. Incompleta (015)",416,3,110,152,50,18,9,1,,,73
"Sup. no Univ. Completa (016)",587,11,131,198,118,37,11,1,,,80
"Sup. Univ. Incompleta (017)",175,,48,63,22,10,3,,,,29
"Sup. Univ. Completa (018)",542,5,106,151,115,60,30,5,,,70
,,,,,,,,,,,
"RURAL (020)",2618,39,1086,846,202,70,33,11,1,,330
"Sin Nivel (021)",497,16,242,126,34,14,10,2,,,53
"Educación Inicial (022)",3,,2,1,,,,,,,
"Primaria (023)",825,14,384,260,55,19,8,6,1,,78
"Secundaria (024)",909,7,370,319,56,15,8,3,,,131
"Sup. no Univ. Incompleta (025)",124,,32,52,18,4,1,,,,17
"Sup. no Univ. Completa (026)",128,1,29,49,17,8,4,,,,20
"Sup. Univ. Incompleta (027)",35,,11,10,7,1,,,,,6
"Sup. Univ. Completa (028)",97,1,16,29,15,9,2,,,,25
