"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTABAMBA (000)",12267,266,4226,2333,2105,1986,1351
"Hombres (001)",6272,135,2228,1209,1108,980,612
"Mujeres (002)",5995,131,1998,1124,997,1006,739
"Viviendas particulares (003)",12064,265,4208,2251,2027,1964,1349
"Hombres (004)",6122,135,2223,1152,1044,958,610
"Mujeres (005)",5942,130,1985,1099,983,1006,739
"Viviendas colectivas (006)",190,1,18,79,73,17,2
"Hombres (007)",138,,5,54,60,17,2
"Mujeres (008)",52,1,13,25,13,,
"Otro tipo (009)",13,,,3,5,5,
"Hombres (010)",12,,,3,4,5,
"Mujeres (011)",1,,,,1,,
,,,,,,,
"URBANA (012)",8616,173,3060,1696,1457,1348,882
"Hombres (013)",4340,81,1617,887,726,652,377
"Mujeres (014)",4276,92,1443,809,731,696,505
"Viviendas particulares (015)",8488,172,3042,1647,1409,1337,881
"Hombres (016)",4260,81,1612,859,691,641,376
"Mujeres (017)",4228,91,1430,788,718,696,505
"Viviendas colectivas (018)",115,1,18,46,43,6,1
"Hombres (019)",68,,5,25,31,6,1
"Mujeres (020)",47,1,13,21,12,,
"Otro tipo (021)",13,,,3,5,5,
"Hombres (022)",12,,,3,4,5,
"Mujeres (023)",1,,,,1,,
,,,,,,,
"RURAL (024)",3651,93,1166,637,648,638,469
"Hombres (025)",1932,54,611,322,382,328,235
"Mujeres (026)",1719,39,555,315,266,310,234
"Viviendas particulares (027)",3576,93,1166,604,618,627,468
"Hombres (028)",1862,54,611,293,353,317,234
"Mujeres (029)",1714,39,555,311,265,310,234
"Viviendas colectivas (030)",75,,,33,30,11,1
"Hombres (031)",70,,,29,29,11,1
"Mujeres (032)",5,,,4,1,,
