"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,1054,11,1311,850,198,635,108,313
"Empleado (001)",736,8,1,19,66,53,338,54,197
"Obrero (002)",921,216,1,320,209,43,95,15,22
"Trabajador independiente (003)",2137,597,7,756,430,81,153,29,84
"Empleador o patrono (004)",37,4,,13,8,3,8,,1
"Trabajador familiar no remunerado (005)",581,201,2,183,128,15,36,8,8
"Trabajador del hogar (006)",68,28,,20,9,3,5,2,1
"Hombres (008)",3559,755,10,1103,748,148,472,83,240
"Empleado (009)",509,2,1,11,52,36,231,39,137
"Obrero (010)",832,184,,284,197,39,92,14,22
"Trabajador independiente (011)",1802,455,7,685,380,57,120,24,74
"Empleador o patrono (012)",35,3,,13,7,3,8,,1
"Trabajador familiar no remunerado (013)",377,110,2,108,111,13,21,6,6
"Trabajador del hogar (014)",4,1,,2,1,,,,
"Mujeres (016)",921,299,1,208,102,50,163,25,73
"Empleado (017)",227,6,,8,14,17,107,15,60
"Obrero (018)",89,32,1,36,12,4,3,1,
"Trabajador independiente (019)",335,142,,71,50,24,33,5,10
"Empleador o patrono (020)",2,1,,,1,,,,
"Trabajador familiar no remunerado (021)",204,91,,75,17,2,15,2,2
"Trabajador del hogar (022)",64,27,,18,8,3,5,2,1
,,,,,,,,,
"URBANA (024)",986,81,2,136,185,88,272,50,172
"Empleado (025)",379,2,1,8,22,30,167,33,116
"Obrero (026)",146,10,1,32,54,18,19,3,9
"Trabajador independiente (027)",352,52,,65,80,33,67,11,44
"Empleador o patrono (028)",7,1,,,4,1,1,,
"Trabajador familiar no remunerado (029)",75,10,,23,20,4,13,2,3
"Trabajador del hogar (030)",27,6,,8,5,2,5,1,
"Hombres (032)",646,35,1,83,142,55,176,33,121
"Empleado (033)",244,,1,5,16,17,109,22,74
"Obrero (034)",134,9,,28,50,16,19,3,9
"Trabajador independiente (035)",222,19,,41,56,19,43,7,37
"Empleador o patrono (036)",6,1,,,3,1,1,,
"Trabajador familiar no remunerado (037)",38,5,,9,16,2,4,1,1
"Trabajador del hogar (038)",2,1,,,1,,,,
"Mujeres (040)",340,46,1,53,43,33,96,17,51
"Empleado (041)",135,2,,3,6,13,58,11,42
"Obrero (042)",12,1,1,4,4,2,,,
"Trabajador independiente (043)",130,33,,24,24,14,24,4,7
"Empleador o patrono (044)",1,,,,1,,,,
"Trabajador familiar no remunerado (045)",37,5,,14,4,2,9,1,2
"Trabajador del hogar (046)",25,5,,8,4,2,5,1,
,,,,,,,,,
"RURAL (048)",3494,973,9,1175,665,110,363,58,141
"Empleado (049)",357,6,,11,44,23,171,21,81
"Obrero (050)",775,206,,288,155,25,76,12,13
"Trabajador independiente (051)",1785,545,7,691,350,48,86,18,40
"Empleador o patrono (052)",30,3,,13,4,2,7,,1
"Trabajador familiar no remunerado (053)",506,191,2,160,108,11,23,6,5
"Trabajador del hogar (054)",41,22,,12,4,1,,1,1
"Hombres (056)",2913,720,9,1020,606,93,296,50,119
"Empleado (057)",265,2,,6,36,19,122,17,63
"Obrero (058)",698,175,,256,147,23,73,11,13
"Trabajador independiente (059)",1580,436,7,644,324,38,77,17,37
"Empleador o patrono (060)",29,2,,13,4,2,7,,1
"Trabajador familiar no remunerado (061)",339,105,2,99,95,11,17,5,5
"Trabajador del hogar (062)",2,,,2,,,,,
"Mujeres (064)",581,253,,155,59,17,67,8,22
"Empleado (065)",92,4,,5,8,4,49,4,18
"Obrero (066)",77,31,,32,8,2,3,1,
"Trabajador independiente (067)",205,109,,47,26,10,9,1,3
"Empleador o patrono (068)",1,1,,,,,,,
"Trabajador familiar no remunerado (069)",167,86,,61,13,,6,1,
"Trabajador del hogar (070)",39,22,,10,4,1,,1,1
