"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR",,,,,,,,
"Viviendas particulares (001)",4113,1823,2109,132,19,6,1,23
"Ocupantes presentes (002)",16623,6943,8971,533,75,15,2,84
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",3996,1740,2079,128,19,6,1,23
"Ocupantes presentes (005)",16246,6685,8866,519,75,15,2,84
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",6,,4,2,,,,
"Ocupantes presentes (008)",15,,9,6,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",15,,15,,,,,
"Ocupantes presentes (011)",46,,46,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",6,3,2,1,,,,
"Ocupantes presentes (014)",25,10,11,4,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",74,67,7,,,,,
"Ocupantes presentes (017)",246,218,28,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,
"Ocupantes presentes (020)",1,1,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",6,3,2,1,,,,
"Ocupantes presentes (023)",21,6,11,4,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",9,9,,,,,,
"Ocupantes presentes (026)",23,23,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",3062,1179,1745,112,12,1,,13
"Ocupantes presentes (029)",12960,4754,7619,481,44,1,,61
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",3020,1163,1722,109,12,1,,13
"Ocupantes presentes (032)",12833,4714,7542,471,44,1,,61
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",6,,4,2,,,,
"Ocupantes presentes (035)",15,,9,6,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",15,,15,,,,,
"Ocupantes presentes (038)",46,,46,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",6,3,2,1,,,,
"Ocupantes presentes (041)",25,10,11,4,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,
"Ocupantes presentes (047)",1,1,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",5,3,2,,,,,
"Ocupantes presentes (050)",17,6,11,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",9,9,,,,,,
"Ocupantes presentes (053)",23,23,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",1051,644,364,20,7,5,1,10
"Ocupantes presentes (056)",3663,2189,1352,52,31,14,2,23
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",976,577,357,19,7,5,1,10
"Ocupantes presentes (059)",3413,1971,1324,48,31,14,2,23
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",74,67,7,,,,,
"Ocupantes presentes (071)",246,218,28,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",1,,,1,,,,
"Ocupantes presentes (077)",4,,,4,,,,
"Otro tipo",,,,,,,,
