"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",107082,13057,2970,53514,26998,2575,3983,1475,2510
"Quechua (001)",120,25,3,46,28,8,7,1,2
"Aymara (002)",61,7,3,22,21,1,2,2,3
"Ashaninca (003)",22,4,2,9,5,1,1,,
"Otra lengua nativa (004)",1001,372,4,458,136,10,9,8,4
"Castellano (005)",105707,12531,2954,52953,26801,2554,3962,1461,2491
"Idioma extranjero (006)",20,1,,1,3,,2,3,10
"Es sordomudo/a (007)",151,117,4,25,4,1,,,
"Hombres (009)",55586,5515,1548,27742,15211,1254,1949,877,1490
"Quechua (010)",63,5,1,27,20,4,4,1,1
"Aymara (011)",32,2,3,8,14,1,1,2,1
"Ashaninca (012)",10,2,1,4,3,,,,
"Otra lengua nativa (013)",524,171,4,236,93,6,5,7,2
"Castellano (014)",54857,5269,1535,27451,15075,1242,1938,866,1481
"Idioma extranjero (015)",11,,,1,3,,1,1,5
"Es sordomudo/a (016)",89,66,4,15,3,1,,,
"Mujeres (018)",51496,7542,1422,25772,11787,1321,2034,598,1020
"Quechua (019)",57,20,2,19,8,4,3,,1
"Aymara (020)",29,5,,14,7,,1,,2
"Ashaninca (021)",12,2,1,5,2,1,1,,
"Otra lengua nativa (022)",477,201,,222,43,4,4,1,2
"Castellano (023)",50850,7262,1419,25502,11726,1312,2024,595,1010
"Idioma extranjero (024)",9,1,,,,,1,2,5
"Es sordomudo/a (025)",62,51,,10,1,,,,
,,,,,,,,,
"URBANA (027)",64233,5571,1704,26811,20059,2397,3831,1395,2465
"Quechua (028)",68,12,,15,23,8,7,1,2
"Aymara (029)",55,6,1,19,21,1,2,2,3
"Ashaninca (030)",14,1,2,4,5,1,1,,
"Otra lengua nativa (031)",111,14,,41,41,4,4,5,2
"Castellano (032)",63907,5492,1699,26721,19964,2383,3815,1384,2449
"Idioma extranjero (033)",18,1,,,3,,2,3,9
"Es sordomudo/a (034)",60,45,2,11,2,,,,
"Hombres (036)",32325,2328,883,13092,10769,1129,1853,813,1458
"Quechua (037)",38,3,,8,17,4,4,1,1
"Aymara (038)",29,2,1,7,14,1,1,2,1
"Ashaninca (039)",5,1,1,,3,,,,
"Otra lengua nativa (040)",53,10,,17,19,2,,4,1
"Castellano (041)",32158,2290,879,13054,10711,1122,1847,805,1450
"Idioma extranjero (042)",10,,,,3,,1,1,5
"Es sordomudo/a (043)",32,22,2,6,2,,,,
"Mujeres (045)",31908,3243,821,13719,9290,1268,1978,582,1007
"Quechua (046)",30,9,,7,6,4,3,,1
"Aymara (047)",26,4,,12,7,,1,,2
"Ashaninca (048)",9,,1,4,2,1,1,,
"Otra lengua nativa (049)",58,4,,24,22,2,4,1,1
"Castellano (050)",31749,3202,820,13667,9253,1261,1968,579,999
"Idioma extranjero (051)",8,1,,,,,1,2,4
"Es sordomudo/a (052)",28,23,,5,,,,,
,,,,,,,,,
"RURAL (054)",42849,7486,1266,26703,6939,178,152,80,45
"Quechua (055)",52,13,3,31,5,,,,
"Aymara (056)",6,1,2,3,,,,,
"Ashaninca (057)",8,3,,5,,,,,
"Otra lengua nativa (058)",890,358,4,417,95,6,5,3,2
"Castellano (059)",41800,7039,1255,26232,6837,171,147,77,42
"Idioma extranjero (060)",2,,,1,,,,,1
"Es sordomudo/a (061)",91,72,2,14,2,1,,,
"Hombres (063)",23261,3187,665,14650,4442,125,96,64,32
"Quechua (064)",25,2,1,19,3,,,,
"Aymara (065)",3,,2,1,,,,,
"Ashaninca (066)",5,1,,4,,,,,
"Otra lengua nativa (067)",471,161,4,219,74,4,5,3,1
"Castellano (068)",22699,2979,656,14397,4364,120,91,61,31
"Idioma extranjero (069)",1,,,1,,,,,
"Es sordomudo/a (070)",57,44,2,9,1,1,,,
"Mujeres (072)",19588,4299,601,12053,2497,53,56,16,13
"Quechua (073)",27,11,2,12,2,,,,
"Aymara (074)",3,1,,2,,,,,
"Ashaninca (075)",3,2,,1,,,,,
"Otra lengua nativa (076)",419,197,,198,21,2,,,1
"Castellano (077)",19101,4060,599,11835,2473,51,56,16,11
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",34,28,,5,1,,,,
