"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",5991,5725,24,909,858,846,1513,1013,439,123,266,23378
"De 12 a 14 años (001)",14,,,,,,,,,,14,
"De 15 a 19 años (002)",154,136,2,123,11,,,,,,18,145
"De 20 a 24 años (003)",667,560,4,311,175,48,17,5,,,107,909
"De 25 a 29 años (004)",656,608,2,176,190,149,79,10,2,,48,1416
"De 30 a 34 años (005)",685,663,1,83,152,170,200,52,5,,22,2145
"De 35 a 39 años (006)",602,586,,35,78,124,223,94,26,6,16,2425
"De 40 a 44 años (007)",534,528,,22,40,81,184,146,44,11,6,2596
"De 45 a 49 años (008)",502,501,,23,22,55,145,153,85,18,1,2771
"De 50 y más años (009)",2177,2143,15,136,190,219,665,553,277,88,34,10971
"PEA (010)",858,805,4,137,149,139,199,113,53,11,53,3020
"De 15 a 19 años (012)",6,6,,6,,,,,,,,6
"De 20 a 24 años (013)",70,53,3,29,15,4,2,,,,17,79
"De 25 a 29 años (014)",118,102,,41,31,21,9,,,,16,204
"De 30 a 34 años (015)",138,129,,25,40,28,31,5,,,9,356
"De 35 a 39 años (016)",123,115,,11,26,27,37,8,6,,8,405
"De 40 a 44 años (017)",106,106,,6,13,17,34,25,8,3,,489
"De 45 a 49 años (018)",88,88,,6,5,20,26,24,7,,,409
"De 50 y más años (019)",209,206,1,13,19,22,60,51,32,8,3,1072
"Ocupada (020)",811,768,4,126,144,133,195,105,51,10,43,2884
"De 15 a 19 años (022)",4,4,,4,,,,,,,,4
"De 20 a 24 años (023)",58,49,3,26,15,3,2,,,,9,73
"De 25 a 29 años (024)",109,94,,35,29,21,9,,,,15,194
