"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SIHUAS (000)",11033,10740,3375,1138,1055,997,1646,1276,1253,293
"Católica (001)",9280,9043,2892,990,911,830,1360,1040,1020,237
"Cristiana/Evangélica (002)",1600,1552,442,129,128,156,263,224,210,48
"Otra (003)",83,81,20,11,7,8,13,7,15,2
"Ninguna (004)",70,64,21,8,9,3,10,5,8,6
,,,,,,,,,,
"URBANA (006)",3006,2940,940,406,353,318,431,282,210,66
"Católica (007)",2610,2559,839,356,307,266,377,238,176,51
"Cristiana/Evangélica (008)",329,316,81,39,38,45,43,41,29,13
"Otra (009)",43,42,12,6,4,6,7,2,5,1
"Ninguna (010)",24,23,8,5,4,1,4,1,,1
,,,,,,,,,,
"RURAL (012)",8027,7800,2435,732,702,679,1215,994,1043,227
"Católica (013)",6670,6484,2053,634,604,564,983,802,844,186
"Cristiana/Evangélica (014)",1271,1236,361,90,90,111,220,183,181,35
"Otra (015)",40,39,8,5,3,2,6,5,10,1
"Ninguna (016)",46,41,13,3,5,2,6,4,8,5
