"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CASTILLA (000)",13638,13348,3463,1800,2157,1575,1875,1193,1285,290
"Católica (001)",12226,11964,3079,1638,1946,1439,1658,1073,1131,262
"Cristiana/Evangélica (002)",622,609,147,66,96,58,91,68,83,13
"Otra (003)",670,657,192,80,95,69,107,50,64,13
"Ninguna (004)",120,118,45,16,20,9,19,2,7,2
,,,,,,,,,,
"URBANA (006)",7943,7756,2078,1140,1316,946,1066,602,608,187
"Católica (007)",7127,6958,1830,1035,1184,869,951,545,544,169
"Cristiana/Evangélica (008)",339,332,90,47,55,31,47,30,32,7
"Otra (009)",386,376,122,46,58,38,56,25,31,10
"Ninguna (010)",91,90,36,12,19,8,12,2,1,1
,,,,,,,,,,
"RURAL (012)",5695,5592,1385,660,841,629,809,591,677,103
"Católica (013)",5099,5006,1249,603,762,570,707,528,587,93
"Cristiana/Evangélica (014)",283,277,57,19,41,27,44,38,51,6
"Otra (015)",284,281,70,34,37,31,51,25,33,3
"Ninguna (016)",29,28,9,4,1,1,7,,6,1
