"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN MARCOS (000)",51031,965,16245,12912,9525,7453,3931
"Hombres (001)",25581,473,8320,6499,4750,3663,1876
"Mujeres (002)",25450,492,7925,6413,4775,3790,2055
"Viviendas particulares (003)",49938,962,16090,12553,9144,7293,3896
"Hombres (004)",24900,472,8231,6285,4507,3554,1851
"Mujeres (005)",25038,490,7859,6268,4637,3739,2045
"Viviendas colectivas (006)",23,,3,9,7,4,
"Hombres (007)",12,,1,5,4,2,
"Mujeres (008)",11,,2,4,3,2,
"Otro tipo (009)",1070,3,152,350,374,156,35
"Hombres (010)",669,1,88,209,239,107,25
"Mujeres (011)",401,2,64,141,135,49,10
,,,,,,,
"URBANA (012)",11641,186,3011,3045,2606,1847,946
"Hombres (013)",5864,89,1575,1523,1324,903,450
"Mujeres (014)",5777,97,1436,1522,1282,944,496
"Viviendas particulares (015)",10551,183,2857,2687,2226,1687,911
"Hombres (016)",5183,88,1486,1309,1081,794,425
"Mujeres (017)",5368,95,1371,1378,1145,893,486
"Viviendas colectivas (018)",20,,2,8,6,4,
"Hombres (019)",12,,1,5,4,2,
"Mujeres (020)",8,,1,3,2,2,
"Otro tipo (021)",1070,3,152,350,374,156,35
"Hombres (022)",669,1,88,209,239,107,25
"Mujeres (023)",401,2,64,141,135,49,10
,,,,,,,
"RURAL (024)",39390,779,13234,9867,6919,5606,2985
"Hombres (025)",19717,384,6745,4976,3426,2760,1426
"Mujeres (026)",19673,395,6489,4891,3493,2846,1559
"Viviendas particulares (027)",39387,779,13233,9866,6918,5606,2985
"Hombres (028)",19717,384,6745,4976,3426,2760,1426
"Mujeres (029)",19670,395,6488,4890,3492,2846,1559
"Viviendas colectivas (030)",3,,1,1,1,,
"Mujeres (032)",3,,1,1,1,,
