"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia GRAU (000)",6983,24865,2821,9850,4162,15015
"Casa independiente (001)",6589,23647,2796,9770,3793,13877
"Vivienda en casa de vecindad (004)",17,55,17,55,,
"Choza o cabaña (005)",367,1132,,,367,1132
"Vivienda improvisada (006)",6,23,6,23,,
"Local no dest.para hab. humana (007)",3,4,2,2,1,2
"Otro tipo (008)",1,4,,,1,4
