"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Servicios sociales y de salud (040)",198,,28,87,75,8
"Otras activ. serv.comun.soc y personales (041)",486,9,157,181,117,22
"Hogares privados con servicio doméstico (042)",26,2,12,6,5,1
"Actividad economica no especificada (044)",336,,94,110,103,29
"Desocupado (045)",2217,38,1046,695,379,59
"Mujeres (046)",10796,104,3222,4194,2895,381
"Agric., ganadería, caza y silvicultura (047)",814,13,269,288,207,37
"Pesca (048)",12,,6,3,3,
"Explotación de minas y canteras (049)",9,,5,3,1,
"Industrias manufactureras (050)",510,4,135,177,186,8
"Suministro de electricidad, gas y agua (051)",16,1,5,9,1,
"Construcción (052)",52,3,19,19,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",3288,26,746,1310,987,219
"Venta, mant.y rep. veh.autom.y motoc. (054)",45,,19,19,7,
"Comercio al por mayor (055)",147,,52,61,31,3
"Comercio al por menor (056)",3096,26,675,1230,949,216
"Hoteles y restaurantes (057)",1280,15,312,472,430,51
"Trans., almac. y comunicaciones (058)",208,3,116,68,20,1
"Intermediación financiera (059)",52,,27,16,8,1
"Activid.inmobil., empres. y alquileres (060)",354,,138,134,81,1
"Admin.pub. y defensa; p. segur.soc afil (061)",399,,153,164,82,
"Enseñanza (062)",1193,,255,611,322,5
"Servicios sociales y de salud (063)",338,,82,133,121,2
"Otras activ. serv.comun.soc y personales (064)",337,2,99,139,88,9
"Hogares privados con servicio doméstico (065)",864,21,334,318,179,12
"Actividad economica no especificada (067)",379,,108,128,111,32
"Desocupado (068)",691,16,413,202,57,3
,,,,,,
"URBANA (069)",35849,319,10829,13406,10048,1247
"Agric., ganadería, caza y silvicultura (070)",7769,74,2292,2727,2309,367
"Pesca (071)",394,2,146,160,79,7
"Explotación de minas y canteras (072)",64,,25,25,13,1
"Industrias manufactureras (073)",3898,28,967,1350,1451,102
"Suministro de electricidad, gas y agua (074)",86,1,20,42,21,2
"Construcción (075)",2342,14,785,929,565,49
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",6115,74,1460,2352,1853,376
"Venta, mant.y rep. veh.autom.y motoc. (077)",661,4,214,227,203,13
"Comercio al por mayor (078)",371,1,119,178,65,8
"Comercio al por menor (079)",5083,69,1127,1947,1585,355
"Hoteles y restaurantes (080)",1602,27,408,579,520,68
"Trans., almac. y comunicaciones (081)",3354,19,1378,1266,637,54
"Intermediación financiera (082)",124,,43,55,24,2
"Activid.inmobil., empres. y alquileres (083)",1582,2,508,662,394,16
"Admin.pub. y defensa; p. segur.soc afil (084)",1096,,289,421,370,16
"Enseñanza (085)",1903,,332,928,624,19
"Servicios sociales y de salud (086)",518,,104,214,190,10
"Otras activ. serv.comun.soc y personales (087)",789,10,239,313,198,29
"Hogares privados con servicio doméstico (088)",826,20,309,309,176,12
"Actividad economica no especificada (090)",683,,185,232,209,57
"Desocupado (091)",2704,48,1339,842,415,60
"Hombres (092)",25786,226,7940,9419,7314,887
"Agric., ganadería, caza y silvicultura (093)",7215,68,2130,2510,2166,341
"Pesca (094)",382,2,140,157,76,7
"Explotación de minas y canteras (095)",56,,21,22,12,1
"Industrias manufactureras (096)",3409,24,845,1178,1268,94
"Suministro de electricidad, gas y agua (097)",70,,15,33,20,2
"Construcción (098)",2295,11,769,912,554,49
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2984,48,758,1097,918,163
"Venta, mant.y rep. veh.autom.y motoc. (100)",619,4,196,210,196,13
"Comercio al por mayor (101)",234,1,71,119,37,6
"Comercio al por menor (102)",2131,43,491,768,685,144
"Hoteles y restaurantes (103)",361,12,110,120,101,18
"Trans., almac. y comunicaciones (104)",3153,16,1268,1199,617,53
"Intermediación financiera (105)",73,,17,39,16,1
"Activid.inmobil., empres. y alquileres (106)",1240,2,378,530,315,15
"Admin.pub. y defensa; p. segur.soc afil (107)",726,,154,268,288,16
"Enseñanza (108)",749,,92,333,310,14
"Servicios sociales y de salud (109)",192,,28,83,73,8
"Otras activ. serv.comun.soc y personales (110)",467,8,148,176,114,21
"Hogares privados con servicio doméstico (111)",25,1,12,6,5,1
"Actividad economica no especificada (113)",319,,87,105,101,26
"Desocupado (114)",2070,34,968,651,360,57
"Mujeres (115)",10063,93,2889,3987,2734,360
"Agric., ganadería, caza y silvicultura (116)",554,6,162,217,143,26
"Pesca (117)",12,,6,3,3,
"Explotación de minas y canteras (118)",8,,4,3,1,
"Industrias manufactureras (119)",489,4,122,172,183,8
"Suministro de electricidad, gas y agua (120)",16,1,5,9,1,
"Construcción (121)",47,3,16,17,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",3131,26,702,1255,935,213
"Venta, mant.y rep. veh.autom.y motoc. (123)",42,,18,17,7,
"Comercio al por mayor (124)",137,,48,59,28,2
"Comercio al por menor (125)",2952,26,636,1179,900,211
"Hoteles y restaurantes (126)",1241,15,298,459,419,50
"Trans., almac. y comunicaciones (127)",201,3,110,67,20,1
"Intermediación financiera (128)",51,,26,16,8,1
"Activid.inmobil., empres. y alquileres (129)",342,,130,132,79,1
"Admin.pub. y defensa; p. segur.soc afil (130)",370,,135,153,82,
"Enseñanza (131)",1154,,240,595,314,5
"Servicios sociales y de salud (132)",326,,76,131,117,2
"Otras activ. serv.comun.soc y personales (133)",322,2,91,137,84,8
"Hogares privados con servicio doméstico (134)",801,19,297,303,171,11
"Actividad economica no especificada (136)",364,,98,127,108,31
"Desocupado (137)",634,14,371,191,55,3
,,,,,,
"RURAL (138)",5019,63,1835,1504,1344,273
"Agric., ganadería, caza y silvicultura (139)",3620,52,1232,1038,1057,241
"Pesca (140)",12,,2,7,2,1
"Explotación de minas y canteras (141)",4,,2,2,,
"Industrias manufactureras (142)",143,,54,42,45,2
"Construcción (144)",94,,42,34,13,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",297,,86,107,96,8
"Venta, mant.y rep. veh.autom.y motoc. (146)",45,,18,15,12,
"Comercio al por mayor (147)",23,,11,6,5,1
"Comercio al por menor (148)",229,,57,86,79,7
"Hoteles y restaurantes (149)",47,,16,15,14,2
"Trans., almac. y comunicaciones (150)",250,1,127,90,29,3
"Intermediación financiera (151)",4,,3,1,,
"Activid.inmobil., empres. y alquileres (152)",79,,30,32,16,1
"Admin.pub. y defensa; p. segur.soc afil (153)",49,,26,18,5,
"Enseñanza (154)",68,,18,29,20,1
"Servicios sociales y de salud (155)",18,,6,6,6,
"Otras activ. serv.comun.soc y personales (156)",34,1,17,7,7,2
"Hogares privados con servicio doméstico (157)",64,3,37,15,8,1
"Actividad economica no especificada (159)",32,,17,6,5,4
"Desocupado (160)",204,6,120,55,21,2
"Hombres (161)",4286,52,1502,1297,1183,252
"Agric., ganadería, caza y silvicultura (162)",3360,45,1125,967,993,230
"Pesca (163)",12,,2,7,2,1
"Explotación de minas y canteras (164)",3,,1,2,,
"Industrias manufactureras (165)",122,,41,37,42,2
"Construcción (167)",89,,39,32,13,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",140,,42,52,44,2
"Venta, mant.y rep. veh.autom.y motoc. (169)",42,,17,13,12,
"Comercio al por mayor (170)",13,,7,4,2,
"Comercio al por menor (171)",85,,18,35,30,2
"Hoteles y restaurantes (172)",8,,2,2,3,1
"Trans., almac. y comunicaciones (173)",243,1,121,89,29,3
"Intermediación financiera (174)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (175)",67,,22,30,14,1
"Admin.pub. y defensa; p. segur.soc afil (176)",20,,8,7,5,
"Enseñanza (177)",29,,3,13,12,1
"Servicios sociales y de salud (178)",6,,,4,2,
"Otras activ. serv.comun.soc y personales (179)",19,1,9,5,3,1
"Hogares privados con servicio doméstico (180)",1,1,,,,
"Actividad economica no especificada (182)",17,,7,5,2,3
"Desocupado (183)",147,4,78,44,19,2
"Mujeres (184)",733,11,333,207,161,21
"Agric., ganadería, caza y silvicultura (185)",260,7,107,71,64,11
"Explotación de minas y canteras (187)",1,,1,,,
"Industrias manufactureras (188)",21,,13,5,3,
"Construcción (190)",5,,3,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",157,,44,55,52,6
"Venta, mant.y rep. veh.autom.y motoc. (192)",3,,1,2,,
"Comercio al por mayor (193)",10,,4,2,3,1
"Comercio al por menor (194)",144,,39,51,49,5
"Hoteles y restaurantes (195)",39,,14,13,11,1
"Trans., almac. y comunicaciones (196)",7,,6,1,,
"Intermediación financiera (197)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",12,,8,2,2,
"Admin.pub. y defensa; p. segur.soc afil (199)",29,,18,11,,
"Enseñanza (200)",39,,15,16,8,
"Servicios sociales y de salud (201)",12,,6,2,4,
"Otras activ. serv.comun.soc y personales (202)",15,,8,2,4,1
"Hogares privados con servicio doméstico (203)",63,2,37,15,8,1
"Actividad economica no especificada (205)",15,,10,1,3,1
"Desocupado (206)",57,2,42,11,2,
