"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHICLAYO (000)",308939,290622,95745,45446,45219,34722,36945,16721,8958,6866,18317,663403
"De 12 a 14 años (001)",23808,23692,23615,59,18,,,,,,116,95
"De 15 a 19 años (002)",39891,39283,35834,3050,324,61,14,,,,608,3937
"De 20 a 24 años (003)",35937,30760,16506,9850,3528,707,152,17,,,5177,19777
"De 25 a 29 años (004)",32229,27534,6645,9874,7095,2832,1011,68,9,,4695,37306
"De 30 a 34 años (005)",30601,28063,3551,7345,8884,5012,2853,366,37,15,2538,55057
"De 35 a 39 años (006)",28907,27310,2446,4803,7842,6308,4830,876,176,29,1597,67558
"De 40 a 44 años (007)",25630,24513,1803,3188,5833,5890,5651,1589,458,101,1117,72179
"De 45 a 49 años (008)",22013,21246,1419,2344,4309,4678,5486,2078,681,251,767,70735
"De 50 y más años (009)",69923,68221,3926,4933,7386,9234,16948,11727,7597,6470,1702,336759
"Sin nivel (010)",22720,21942,1908,1459,1933,2139,4302,3875,3119,3207,778,119476
"De 12 a 14 años (011)",272,269,264,4,1,,,,,,3,6
"De 15 a 19 años (012)",436,425,368,46,8,1,2,,,,11,73
"De 20 a 24 años (013)",528,445,196,114,89,34,9,3,,,83,451
"De 25 a 29 años (014)",578,483,122,116,105,87,44,7,2,,95,834
"De 30 a 34 años (015)",1268,1151,133,196,304,264,206,40,7,1,117,2810
"De 35 a 39 años (016)",1427,1340,120,149,243,280,379,121,40,8,87,4335
"De 40 a 44 años (017)",1661,1581,107,114,242,288,477,217,102,34,80,6190
"De 45 a 49 años (018)",1764,1706,94,124,193,239,499,316,164,77,58,7735
"De 50 y más años (019)",14786,14542,504,596,748,946,2686,3171,2804,3087,244,97042
