"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,17557,51,2511,2519,2447,4675,3310,1635,409,726,75086
"De 12 a 14 años (001)",55,17,1,14,2,,,,,,38,18
"De 15 a 19 años (002)",493,407,5,341,49,9,3,,,,86,478
"De 20 a 24 años (003)",1718,1519,4,793,525,142,47,8,,,199,2516
"De 25 a 29 años (004)",2102,1947,1,453,622,504,336,27,4,,155,4830
"De 30 a 34 años (005)",2026,1961,7,227,396,466,689,151,23,2,65,6633
"De 35 a 39 años (006)",2019,1980,3,126,213,359,734,425,110,10,39,8614
"De 40 a 44 años (007)",2003,1978,3,80,134,191,642,572,299,57,25,10593
"De 45 a 49 años (008)",1727,1710,,72,101,139,472,545,288,93,17,9753
"De 50 y más años (009)",6140,6038,27,405,477,637,1752,1582,911,247,102,31651
"PEA (010)",7674,7412,16,1087,1126,1051,1946,1353,687,146,262,31160
"De 12 a 14 años (011)",7,5,1,4,,,,,,,2,4
"De 15 a 19 años (012)",165,145,,119,19,6,1,,,,20,179
"De 20 a 24 años (013)",708,632,1,322,223,63,18,5,,,76,1065
"De 25 a 29 años (014)",944,873,,219,272,215,153,14,,,71,2138
"De 30 a 34 años (015)",922,886,4,120,190,212,292,57,11,,36,2882
"De 35 a 39 años (016)",946,929,1,82,117,164,322,182,54,7,17,3907
"De 40 a 44 años (017)",954,944,2,48,71,103,297,255,145,23,10,4930
"De 45 a 49 años (018)",807,802,,41,61,80,240,228,124,28,5,4297
"De 50 y más años (019)",2221,2196,7,132,173,208,623,612,353,88,25,11758
"Ocupada (020)",7590,7341,16,1070,1111,1038,1934,1346,681,145,249,30920
"De 12 a 14 años (021)",7,5,1,4,,,,,,,2,4
