"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TOCACHE (000)",3578,2400,1178
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",263,258,5
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",29,29,
"Cárcel, centro de readaptación social (005)",6,6,
"Aldea infantil, orfelinato, etc (007)",20,20,
"Otro (008)",3103,1936,1167
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",156,150,6
