"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CUTERVO (000)",31110,6611,24499
"Red pública dentro de la vivienda (001)",6894,3932,2962
"Red pública fuera de la vivienda (002)",5397,934,4463
"Pilón de uso público (003)",1055,139,916
"Camión - cisterna u otro similar (004)",14,1,13
"Pozo (005)",7247,264,6983
"Río, acequia, manatial o similar (006)",9187,1118,8069
"Vecino (007)",997,164,833
"Otro (008)",319,59,260
,,,
"URBANA (010)",6374,5168,1206
"Red pública dentro de la vivienda (011)",4253,3752,501
"Red pública fuera de la vivienda (012)",662,575,87
"Pilón de uso público (013)",135,55,80
"Camión - cisterna u otro similar (014)",4,1,3
"Pozo (015)",239,102,137
"Río, acequia, manatial o similar (016)",706,505,201
"Vecino (017)",284,122,162
"Otro (018)",91,56,35
,,,
"RURAL (020)",24736,1443,23293
"Red pública dentro de la vivienda (021)",2641,180,2461
"Red pública fuera de la vivienda (022)",4735,359,4376
"Pilón de uso público (023)",920,84,836
"Camión - cisterna u otro similar (024)",10,,10
"Pozo (025)",7008,162,6846
"Río, acequia, manatial o similar (026)",8481,613,7868
"Vecino (027)",713,42,671
"Otro (028)",228,3,225
