"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ZARUMILLA (000)",38204,3112,1083,13496,15014,1680,1911,795,1113
"Quechua (001)",84,1,,21,48,3,5,2,4
"Aymara (002)",31,3,,9,14,1,2,,2
"Ashaninca (003)",6,1,,4,1,,,,
"Otra lengua nativa (004)",9,,,2,7,,,,
"Castellano (005)",38011,3077,1082,13438,14935,1675,1904,793,1107
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",62,30,1,22,8,1,,,
"Hombres (009)",20204,1533,565,6825,8385,899,923,442,632
"Quechua (010)",49,,,8,31,1,4,2,3
"Aymara (011)",19,2,,3,10,,2,,2
"Ashaninca (012)",3,1,,2,,,,,
"Otra lengua nativa (013)",8,,,2,6,,,,
"Castellano (014)",20090,1513,565,6798,8333,897,917,440,627
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",34,17,,12,4,1,,,
"Mujeres (018)",18000,1579,518,6671,6629,781,988,353,481
"Quechua (019)",35,1,,13,17,2,1,,1
"Aymara (020)",12,1,,6,4,1,,,
"Ashaninca (021)",3,,,2,1,,,,
"Otra lengua nativa (022)",1,,,,1,,,,
"Castellano (023)",17921,1564,517,6640,6602,778,987,353,480
"Es sordomudo/a (025)",28,13,1,10,4,,,,
,,,,,,,,,
"URBANA (027)",34775,2725,973,11982,13946,1541,1765,754,1089
"Quechua (028)",80,1,,20,45,3,5,2,4
"Aymara (029)",29,2,,9,13,1,2,,2
"Ashaninca (030)",6,1,,4,1,,,,
"Otra lengua nativa (031)",9,,,2,7,,,,
"Castellano (032)",34596,2697,972,11927,13871,1536,1758,752,1083
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",54,24,1,20,8,1,,,
"Hombres (036)",18317,1341,510,5977,7782,820,849,420,618
"Quechua (037)",47,,,8,29,1,4,2,3
"Aymara (038)",17,1,,3,9,,2,,2
"Ashaninca (039)",3,1,,2,,,,,
"Otra lengua nativa (040)",8,,,2,6,,,,
"Castellano (041)",18214,1327,510,5952,7733,818,843,418,613
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",27,12,,10,4,1,,,
"Mujeres (045)",16458,1384,463,6005,6164,721,916,334,471
"Quechua (046)",33,1,,12,16,2,1,,1
"Aymara (047)",12,1,,6,4,1,,,
"Ashaninca (048)",3,,,2,1,,,,
"Otra lengua nativa (049)",1,,,,1,,,,
"Castellano (050)",16382,1370,462,5975,6138,718,915,334,470
"Es sordomudo/a (052)",27,12,1,10,4,,,,
,,,,,,,,,
"RURAL (054)",3429,387,110,1514,1068,139,146,41,24
"Quechua (055)",4,,,1,3,,,,
"Aymara (056)",2,1,,,1,,,,
"Castellano (059)",3415,380,110,1511,1064,139,146,41,24
"Es sordomudo/a (061)",8,6,,2,,,,,
"Hombres (063)",1887,192,55,848,603,79,74,22,14
"Quechua (064)",2,,,,2,,,,
"Aymara (065)",2,1,,,1,,,,
"Castellano (068)",1876,186,55,846,600,79,74,22,14
"Es sordomudo/a (070)",7,5,,2,,,,,
"Mujeres (072)",1542,195,55,666,465,60,72,19,10
"Quechua (073)",2,,,1,1,,,,
"Castellano (077)",1539,194,55,665,464,60,72,19,10
"Es sordomudo/a (079)",1,1,,,,,,,
