"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHICLAYO (000)",674726,133622,208139,158368,123759,50838
"Hombres (001)",323393,67420,100082,73230,58069,24592
"Mujeres (002)",351333,66202,108057,85138,65690,26246
"PEA (003)",286673,3156,95318,106030,72034,10135
"Hombres (004)",185440,2168,59988,67020,48538,7726
"Mujeres (005)",101233,988,35330,39010,23496,2409
"Ocupada (006)",271456,2927,86958,102007,69823,9741
"Hombres (007)",175434,2010,54869,64390,46786,7379
"Mujeres (008)",96022,917,32089,37617,23037,2362
"Desocupada (009)",15217,229,8360,4023,2211,394
"Hombres (010)",10006,158,5119,2630,1752,347
"Mujeres (011)",5211,71,3241,1393,459,47
"No PEA (012)",388053,130466,112821,52338,51725,40703
"Hombres (013)",137953,65252,40094,6210,9531,16866
"Mujeres (014)",250100,65214,72727,46128,42194,23837
,,,,,,
"URBANA (018)",631631,123975,195079,148557,116548,47472
"Hombres (019)",301376,62450,93346,68438,54374,22768
"Mujeres (020)",330255,61525,101733,80119,62174,24704
"PEA (021)",269734,2853,89165,100311,68121,9284
"Hombres (022)",171949,1946,55179,62553,45294,6977
"Mujeres (023)",97785,907,33986,37758,22827,2307
"Ocupada (024)",255583,2665,81398,96552,66054,8914
"Hombres (025)",162748,1818,50456,60142,43680,6652
"Mujeres (026)",92835,847,30942,36410,22374,2262
"Desocupada (027)",14151,188,7767,3759,2067,370
"Hombres (028)",9201,128,4723,2411,1614,325
"Mujeres (029)",4950,60,3044,1348,453,45
"No PEA (030)",361897,121122,105914,48246,48427,38188
"Hombres (031)",129427,60504,38167,5885,9080,15791
"Mujeres (032)",232470,60618,67747,42361,39347,22397
,,,,,,
"RURAL (036)",43095,9647,13060,9811,7211,3366
"Hombres (037)",22017,4970,6736,4792,3695,1824
"Mujeres (038)",21078,4677,6324,5019,3516,1542
"PEA (039)",16939,303,6153,5719,3913,851
"Hombres (040)",13491,222,4809,4467,3244,749
"Mujeres (041)",3448,81,1344,1252,669,102
"Ocupada (042)",15873,262,5560,5455,3769,827
"Hombres (043)",12686,192,4413,4248,3106,727
"Mujeres (044)",3187,70,1147,1207,663,100
"Desocupada (045)",1066,41,593,264,144,24
"Hombres (046)",805,30,396,219,138,22
"Mujeres (047)",261,11,197,45,6,2
"No PEA (048)",26156,9344,6907,4092,3298,2515
"Hombres (049)",8526,4748,1927,325,451,1075
"Mujeres (050)",17630,4596,4980,3767,2847,1440
