"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASCOPE (000)",37960,23660,4139,4269,5892
"Empleado (001)",8102,2531,1198,1755,2618
"Obrero (002)",13843,6165,2044,2421,3213
"Trabajador independiente (003)",13192,12445,747,,
"Empleador o patrono (004)",726,536,77,60,53
"Trabajador familiar no remunerado (005)",1207,1093,73,33,8
"Trabajador del hogar (006)",890,890,,,
"De 06 a 14 años (008)",328,251,42,25,10
"Empleado (009)",24,21,3,,
"Obrero (010)",110,62,20,18,10
"Trabajador independiente (011)",65,61,4,,
"Trabajador familiar no remunerado (013)",106,84,15,7,
"Trabajador del hogar (014)",23,23,,,
"De 15 a 29 años (016)",11205,7086,1413,1157,1549
"Empleado (017)",2359,995,367,358,639
"Obrero (018)",4759,2327,761,778,893
"Trabajador independiente (019)",3162,2918,244,,
"Empleador o patrono (020)",116,84,7,11,14
"Trabajador familiar no remunerado (021)",463,416,34,10,3
"Trabajador del hogar (022)",346,346,,,
"De 30 a 44 años (024)",14013,8432,1547,1778,2256
"Empleado (025)",3274,903,510,823,1038
"Obrero (026)",4852,2009,720,925,1198
"Trabajador independiente (027)",4951,4677,274,,
"Empleador o patrono (028)",258,189,30,22,17
"Trabajador familiar no remunerado (029)",354,330,13,8,3
"Trabajador del hogar (030)",324,324,,,
"De 45 a 64 años (032)",10956,6635,1037,1265,2019
"Empleado (033)",2345,562,308,562,913
"Obrero (034)",3773,1526,492,672,1083
"Trabajador independiente (035)",4152,3955,197,,
"Empleador o patrono (036)",288,210,32,24,22
"Trabajador familiar no remunerado (037)",214,198,8,7,1
"Trabajador del hogar (038)",184,184,,,
"De 65 y más años (040)",1458,1256,100,44,58
"Empleado (041)",100,50,10,12,28
"Obrero (042)",349,241,51,28,29
"Trabajador independiente (043)",862,834,28,,
"Empleador o patrono (044)",64,53,8,3,
"Trabajador familiar no remunerado (045)",70,65,3,1,1
"Trabajador del hogar (046)",13,13,,,
,,,,,
"URBANA (048)",33145,19978,3642,3989,5536
"Empleado (049)",7752,2403,1146,1701,2502
"Obrero (050)",11196,4311,1702,2202,2981
"Trabajador independiente (051)",11834,11158,676,,
"Empleador o patrono (052)",579,418,62,54,45
"Trabajador familiar no remunerado (053)",958,862,56,32,8
