"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ILO (000)",17005,61077,16906,60848,99,229
"Casa independiente (001)",15180,55449,15093,55249,87,200
"Departamento en edificio (002)",1334,4223,1334,4223,,
"Vivienda en quinta (003)",44,142,44,142,,
"Vivienda en casa de vecindad (004)",46,121,46,121,,
"Choza o cabaña (005)",11,28,,,11,28
"Vivienda improvisada (006)",360,1055,360,1055,,
"Local no dest.para hab. humana (007)",25,51,24,50,1,1
"Otro tipo (008)",5,8,5,8,,
