"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SANCHEZ CARRION",,,,,,,,,
"Viviendas particulares (001)",3333,202,261,89,188,61,33,24,2475
"Ocupantes presentes (002)",15650,949,1183,424,937,318,156,122,11561
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3263,195,219,88,184,61,32,23,2461
"Ocupantes presentes (005)",15340,919,990,422,920,318,153,119,11499
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1,,,,1,,,,
"Ocupantes presentes (008)",5,,,,5,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",45,2,37,,2,,,,4
"Ocupantes presentes (011)",190,6,162,,8,,,,14
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",19,5,5,1,1,,1,1,5
"Ocupantes presentes (014)",98,24,31,2,4,,3,3,31
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",5,,,,,,,,5
"Ocupantes presentes (017)",17,,,,,,,,17
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1046,145,176,51,120,55,27,12,460
"Ocupantes presentes (029)",4974,659,740,235,602,294,134,62,2248
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",981,138,134,50,116,55,26,11,451
"Ocupantes presentes (032)",4681,629,547,233,585,294,131,59,2203
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1,,,,1,,,,
"Ocupantes presentes (035)",5,,,,5,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",45,2,37,,2,,,,4
"Ocupantes presentes (038)",190,6,162,,8,,,,14
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",19,5,5,1,1,,1,1,5
"Ocupantes presentes (041)",98,24,31,2,4,,3,3,31
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2287,57,85,38,68,6,6,12,2015
"Ocupantes presentes (056)",10676,290,443,189,335,24,22,60,9313
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2282,57,85,38,68,6,6,12,2010
"Ocupantes presentes (059)",10659,290,443,189,335,24,22,60,9296
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",5,,,,,,,,5
"Ocupantes presentes (071)",17,,,,,,,,17
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
