"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia JULCAN (000)",17689,16738,951
"Hombres (001)",8752,8425,327
"Mujeres (002)",8937,8313,624
"De 18 a 29 años (003)",5474,5165,309
"Hombres (004)",2677,2517,160
"Mujeres (005)",2797,2648,149
"De 30 a 44 años (006)",5769,5689,80
"Hombres (007)",2866,2839,27
"Mujeres (008)",2903,2850,53
"De 45 a 64 años (009)",4221,4048,173
"Hombres (010)",2097,2070,27
"Mujeres (011)",2124,1978,146
"De 65 y más años (012)",2225,1836,389
"Hombres (013)",1112,999,113
"Mujeres (014)",1113,837,276
,,,
"URBANA (015)",2850,2769,81
"Hombres (016)",1323,1298,25
"Mujeres (017)",1527,1471,56
"De 18 a 29 años (018)",769,735,34
"Hombres (019)",335,317,18
"Mujeres (020)",434,418,16
"De 30 a 44 años (021)",1013,1010,3
"Hombres (022)",485,485,
"Mujeres (023)",528,525,3
"De 45 a 64 años (024)",756,744,12
"Hombres (025)",356,355,1
"Mujeres (026)",400,389,11
"De 65 y más años (027)",312,280,32
"Hombres (028)",147,141,6
"Mujeres (029)",165,139,26
,,,
"RURAL (030)",14839,13969,870
"Hombres (031)",7429,7127,302
"Mujeres (032)",7410,6842,568
"De 18 a 29 años (033)",4705,4430,275
"Hombres (034)",2342,2200,142
"Mujeres (035)",2363,2230,133
"De 30 a 44 años (036)",4756,4679,77
"Hombres (037)",2381,2354,27
"Mujeres (038)",2375,2325,50
"De 45 a 64 años (039)",3465,3304,161
"Hombres (040)",1741,1715,26
"Mujeres (041)",1724,1589,135
"De 65 y más años (042)",1913,1556,357
"Hombres (043)",965,858,107
"Mujeres (044)",948,698,250
