"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BAGUA (000)",774,244,530
"Sin nivel (001)",33,11,22
"Educación inicial (002)",1,,1
"Primaria (003)",274,93,181
"Secundaria (004)",321,100,221
"Superior no univ. incompleta (005)",35,14,21
"Superior no univ. completa (006)",75,17,58
"Superior univ. incompleta (007)",11,4,7
"Superior univ. completa (008)",24,5,19
"De 14 a 29 años (010)",443,186,257
"Sin nivel (011)",12,8,4
"Educación inicial (012)",1,,1
"Primaria (013)",131,67,64
"Secundaria (014)",212,82,130
"Superior no univ. incompleta (015)",22,8,14
"Superior no univ. completa (016)",48,15,33
"Superior univ. incompleta (017)",7,4,3
"Superior univ. completa (018)",10,2,8
"De 30 a 44 años (020)",199,45,154
"Sin nivel (021)",8,2,6
"Primaria (023)",67,19,48
"Secundaria (024)",82,15,67
"Superior no univ. incompleta (025)",9,4,5
"Superior no univ. completa (026)",22,2,20
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",9,3,6
"De 45 a 64 años (030)",113,13,100
"Sin nivel (031)",11,1,10
"Primaria (033)",62,7,55
"Secundaria (034)",25,3,22
"Superior no univ. incompleta (035)",4,2,2
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",5,,5
"De 65 y más años (040)",19,,19
"Sin nivel (041)",2,,2
"Primaria (043)",14,,14
"Secundaria (044)",2,,2
"Superior no univ. completa (046)",1,,1
,,,
"AREA URBANA (050)",512,119,393
"Sin nivel (051)",16,3,13
"Educación inicial (052)",1,,1
"Primaria (053)",130,18,112
"Secundaria (054)",233,64,169
"Superior no univ. incompleta (055)",35,14,21
"Superior no univ. completa (056)",67,13,54
"Superior univ. incompleta (057)",11,4,7
"Superior univ. completa (058)",19,3,16
"De 14 a 29 años (060)",268,92,176
"Sin nivel (061)",3,2,1
"Educación inicial (062)",1,,1
"Primaria (063)",42,10,32
"Secundaria (064)",143,54,89
"Superior no univ. incompleta (065)",22,8,14
"Superior no univ. completa (066)",41,12,29
"Superior univ. incompleta (067)",7,4,3
"Superior univ. completa (068)",9,2,7
"De 30 a 44 años (070)",145,20,125
"Sin nivel (071)",6,1,5
"Primaria (073)",36,5,31
"Secundaria (074)",65,8,57
"Superior no univ. incompleta (075)",9,4,5
"Superior no univ. completa (076)",21,1,20
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",6,1,5
"De 45 a 64 años (080)",84,7,77
"Sin nivel (081)",5,,5
"Primaria (083)",42,3,39
"Secundaria (084)",23,2,21
"Superior no univ. incompleta (085)",4,2,2
"Superior no univ. completa (086)",4,,4
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",4,,4
"De 65 y más años (090)",15,,15
"Sin nivel (091)",2,,2
"Primaria (093)",10,,10
"Secundaria (094)",2,,2
"Superior no univ. completa (096)",1,,1
,,,
"AREA RURAL (100)",262,125,137
"Sin nivel (101)",17,8,9
"Primaria (103)",144,75,69
"Secundaria (104)",88,36,52
"Superior no univ. completa (106)",8,4,4
"Superior univ. completa (108)",5,2,3
"De 14 a 29 años (110)",175,94,81
"Sin nivel (111)",9,6,3
"Primaria (113)",89,57,32
"Secundaria (114)",69,28,41
"Superior no univ. completa (116)",7,3,4
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",54,25,29
"Sin nivel (121)",2,1,1
"Primaria (123)",31,14,17
"Secundaria (124)",17,7,10
"Superior no univ. completa (126)",1,1,
"Superior univ. completa (128)",3,2,1
"De 45 a 64 años (130)",29,6,23
"Sin nivel (131)",6,1,5
"Primaria (133)",20,4,16
"Secundaria (134)",2,1,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",4,,4
"Primaria (143)",4,,4
