"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",53952,14941,8301,1123,30122
"Quechua (001)",119,14,70,32,26
"Aymara (002)",72,8,46,14,11
"Asháninka (003)",4,2,1,1,
"Otra lengua nativa (004)",19,,15,,4
"Castellano (005)",53686,14904,8167,1076,30044
"Idioma Extranjero (006)",1,,1,,
"Es Sordomudo/a (007)",51,13,1,,37
"Hombres (009)",27559,7065,5114,895,14990
"Quechua (010)",102,9,66,29,20
"Aymara (011)",63,4,45,14,7
"Asháninka (012)",3,1,1,1,
"Otra lengua nativa (013)",10,,8,,2
"Castellano (014)",27353,7045,4992,851,14941
"Idioma Extranjero (015)",1,,1,,
"Es Sordomudo/a (016)",27,6,1,,20
"Mujeres (018)",26393,7876,3187,228,15132
"Quechua (019)",17,5,4,3,6
"Aymara (020)",9,4,1,,4
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",9,,7,,2
"Castellano (023)",26333,7859,3175,225,15103
"Es Sordomudo/a (025)",24,7,,,17
,,,,,
"URBANA (027)",18605,3370,5401,393,9470
"Quechua (028)",35,6,10,2,17
"Aymara (029)",10,2,2,2,4
"Asháninka (030)",2,1,1,,
"Otra lengua nativa (031)",19,,15,,4
"Castellano (032)",18527,3358,5373,389,9436
"Es Sordomudo/a (034)",12,3,,,9
"Hombres (036)",8881,1524,2772,239,4368
"Quechua (037)",23,4,7,1,11
"Aymara (038)",7,1,1,2,3
"Asháninka (039)",2,1,1,,
"Otra lengua nativa (040)",10,,8,,2
"Castellano (041)",8832,1516,2755,236,4347
"Es Sordomudo/a (043)",7,2,,,5
"Mujeres (045)",9724,1846,2629,154,5102
"Quechua (046)",12,2,3,1,6
"Aymara (047)",3,1,1,,1
"Otra lengua nativa (049)",9,,7,,2
"Castellano (050)",9695,1842,2618,153,5089
"Es Sordomudo/a (052)",5,1,,,4
,,,,,
"RURAL (054)",35347,11571,2900,730,20652
"Quechua (055)",84,8,60,30,9
"Aymara (056)",62,6,44,12,7
"Asháninka (057)",2,1,,1,
"Castellano (059)",35159,11546,2794,687,20608
"Idioma Extranjero (060)",1,,1,,
"Es Sordomudo/a (061)",39,10,1,,28
"Hombres (063)",18678,5541,2342,656,10622
"Quechua (064)",79,5,59,28,9
"Aymara (065)",56,3,44,12,4
"Asháninka (066)",1,,,1,
"Castellano (068)",18521,5529,2237,615,10594
"Idioma Extranjero (069)",1,,1,,
"Es Sordomudo/a (070)",20,4,1,,15
"Mujeres (072)",16669,6030,558,74,10030
"Quechua (073)",5,3,1,2,
"Aymara (074)",6,3,,,3
"Asháninka (075)",1,1,,,
"Castellano (077)",16638,6017,557,72,10014
"Es Sordomudo/a (079)",19,6,,,13
