"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN MIGUEL (000)",14890,1544,2476,7986,173,2428,283
"Conviviente (001)",5912,416,1097,3612,88,615,84
"Separado(a) (002)",284,37,46,142,2,37,20
"Casado(a) (003)",4528,678,512,2803,59,429,47
"Viudo(a) (004)",398,13,66,253,6,50,10
"Divorciado(a) (005)",36,9,6,16,1,3,1
"Soltero(a) (006)",3732,391,749,1160,17,1294,121
"Hombres (008)",12464,930,2283,7119,162,1954,16
"Conviviente (009)",5230,269,1029,3386,83,457,6
"Separado(a) (010)",125,8,35,64,2,16,
"Casado(a) (011)",3868,452,477,2572,57,305,5
"Viudo(a) (012)",254,6,52,165,4,26,1
"Divorciado(a) (013)",21,2,4,13,1,1,
"Soltero(a) (014)",2966,193,686,919,15,1149,4
"Mujeres (016)",2426,614,193,867,11,474,267
"Conviviente (017)",682,147,68,226,5,158,78
"Separado(a) (018)",159,29,11,78,,21,20
"Casado(a) (019)",660,226,35,231,2,124,42
"Viudo(a) (020)",144,7,14,88,2,24,9
"Divorciado(a) (021)",15,7,2,3,,2,1
"Soltero(a) (022)",766,198,63,241,2,145,117
,,,,,,,
"URBANA (024)",3092,983,432,1344,18,210,105
"Conviviente (025)",938,237,170,458,5,51,17
"Separado(a) (026)",79,22,7,40,,3,7
"Casado(a) (027)",1207,462,115,539,12,59,20
"Viudo(a) (028)",76,9,10,49,,2,6
"Divorciado(a) (029)",12,9,,1,,1,1
"Soltero(a) (030)",780,244,130,257,1,94,54
"Hombres (032)",2101,572,381,1000,15,125,8
"Conviviente (033)",706,148,155,374,2,26,1
"Separado(a) (034)",24,6,6,12,,,
"Casado(a) (035)",837,296,100,401,12,24,4
"Viudo(a) (036)",35,4,8,21,,1,1
"Divorciado(a) (037)",2,2,,,,,
"Soltero(a) (038)",497,116,112,192,1,74,2
"Mujeres (040)",991,411,51,344,3,85,97
"Conviviente (041)",232,89,15,84,3,25,16
"Separado(a) (042)",55,16,1,28,,3,7
"Casado(a) (043)",370,166,15,138,,35,16
"Viudo(a) (044)",41,5,2,28,,1,5
"Divorciado(a) (045)",10,7,,1,,1,1
"Soltero(a) (046)",283,128,18,65,,20,52
,,,,,,,
"RURAL (048)",11798,561,2044,6642,155,2218,178
"Conviviente (049)",4974,179,927,3154,83,564,67
"Separado(a) (050)",205,15,39,102,2,34,13
"Casado(a) (051)",3321,216,397,2264,47,370,27
"Viudo(a) (052)",322,4,56,204,6,48,4
"Divorciado(a) (053)",24,,6,15,1,2,
"Soltero(a) (054)",2952,147,619,903,16,1200,67
"Hombres (056)",10363,358,1902,6119,147,1829,8
"Conviviente (057)",4524,121,874,3012,81,431,5
"Separado(a) (058)",101,2,29,52,2,16,
"Casado(a) (059)",3031,156,377,2171,45,281,1
"Viudo(a) (060)",219,2,44,144,4,25,
"Divorciado(a) (061)",19,,4,13,1,1,
"Soltero(a) (062)",2469,77,574,727,14,1075,2
"Mujeres (064)",1435,203,142,523,8,389,170
"Conviviente (065)",450,58,53,142,2,133,62
"Separado(a) (066)",104,13,10,50,,18,13
"Casado(a) (067)",290,60,20,93,2,89,26
"Viudo(a) (068)",103,2,12,60,2,23,4
"Divorciado(a) (069)",5,,2,2,,1,
"Soltero(a) (070)",483,70,45,176,2,125,65
