"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia PACHITEA (000)",16423,20,324,113,74,745,8957,297,331,5245,16,301
"Agric., ganadería, caza y silvicultura (001)",13754,,2,9,1,,8953,,,4789,,
"Pesca (002)",7,,,,,,4,,,3,,
"Explotación de minas y canteras (003)",23,,,,,,,18,,5,,
"Industrias manufactureras (004)",257,,,,1,4,,247,2,3,,
"Construcción (006)",164,,,,,,,4,123,37,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",769,,1,8,,630,,27,2,101,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",23,,,,,7,,15,1,,,
"Comercio al por mayor (009)",37,,,3,,33,,1,,,,
"Comercio al por menor (010)",709,,1,5,,590,,11,1,101,,
"Hoteles y restaurantes (011)",184,,,7,3,99,,,,75,,
"Trans., almac. y comunicaciones (012)",218,,,4,1,1,,,196,16,,
"Activid.inmobil., empres. y alquileres (014)",35,,8,6,4,2,,,5,10,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",114,15,4,6,52,4,,,3,14,16,
"Enseñanza (016)",254,5,242,1,2,,,,,4,,
"Servicios sociales y de salud (017)",127,,64,54,3,2,,1,,3,,
"Otras activ. serv.comun.soc y personales (018)",56,,3,17,1,3,,,,32,,
"Hogares privados con servicio doméstico (019)",153,,,,,,,,,153,,
"Actividad economica no especificada (021)",308,,,1,6,,,,,,,301
"Hombres (022)",14286,18,165,73,39,332,8589,151,329,4510,16,64
"Agric., ganadería, caza y silvicultura (023)",12912,,2,7,1,,8585,,,4317,,
"Pesca (024)",7,,,,,,4,,,3,,
"Explotación de minas y canteras (025)",23,,,,,,,18,,5,,
"Industrias manufactureras (026)",109,,,,,3,,103,1,2,,
"Construcción (028)",163,,,,,,,4,123,36,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",393,,1,7,,307,,26,2,50,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",21,,,,,5,,15,1,,,
"Comercio al por mayor (031)",22,,,3,,19,,,,,,
"Comercio al por menor (032)",350,,1,4,,283,,11,1,50,,
"Hoteles y restaurantes (033)",28,,,2,3,13,,,,10,,
"Trans., almac. y comunicaciones (034)",212,,,2,,,,,195,15,,
"Activid.inmobil., empres. y alquileres (036)",28,,8,6,2,2,,,5,5,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",88,14,4,6,28,4,,,3,13,16,
"Enseñanza (038)",123,4,115,1,,,,,,3,,
"Servicios sociales y de salud (039)",64,,32,28,,2,,,,2,,
"Otras activ. serv.comun.soc y personales (040)",25,,3,14,1,1,,,,6,,
"Hogares privados con servicio doméstico (041)",43,,,,,,,,,43,,
"Actividad economica no especificada (043)",68,,,,4,,,,,,,64
"Mujeres (044)",2137,2,159,40,35,413,368,146,2,735,,237
"Agric., ganadería, caza y silvicultura (045)",842,,,2,,,368,,,472,,
