"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MAYNAS (000)",96113,486072,76743,386891,19370,99181
"Casa independiente (001)",79437,410603,71654,370225,7783,40378
"Departamento en edificio (002)",534,1755,534,1755,,
"Vivienda en quinta (003)",3447,10105,3447,10105,,
"Vivienda en casa de vecindad (004)",381,1723,381,1723,,
"Choza o cabaña (005)",11567,58766,,,11567,58766
"Vivienda improvisada (006)",571,2600,571,2600,,
"Local no dest.para hab. humana (007)",139,424,124,394,15,30
"Otro tipo (008)",37,96,32,89,5,7
