"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JORGE BASADRE (000)",147,,72,53,19,3
"Conviviente (001)",68,,28,32,6,2
"Separado(a) (002)",5,,2,3,,
"Casado(a) (003)",28,,4,13,11,
"Viudo(a) (004)",2,,,,1,1
"Soltero(a) (006)",44,,38,5,1,
"Hombres (008)",72,,35,24,11,2
"Conviviente (009)",32,,12,15,3,2
"Separado(a) (010)",1,,,1,,
"Casado(a) (011)",11,,,4,7,
"Soltero(a) (014)",28,,23,4,1,
"Mujeres (016)",75,,37,29,8,1
"Conviviente (017)",36,,16,17,3,
"Separado(a) (018)",4,,2,2,,
"Casado(a) (019)",17,,4,9,4,
"Viudo(a) (020)",2,,,,1,1
"Soltero(a) (022)",16,,15,1,,
,,,,,,
"AREA URBANA (024)",92,,43,34,14,1
"Conviviente (025)",39,,17,18,4,
"Separado(a) (026)",3,,1,2,,
"Casado(a) (027)",20,,2,10,8,
"Viudo(a) (028)",2,,,,1,1
"Soltero(a) (030)",28,,23,4,1,
"Hombres (032)",49,,25,16,8,
"Conviviente (033)",19,,8,9,2,
"Separado(a) (034)",1,,,1,,
"Casado(a) (035)",7,,,2,5,
"Soltero(a) (038)",22,,17,4,1,
"Mujeres (040)",43,,18,18,6,1
"Conviviente (041)",20,,9,9,2,
"Separado(a) (042)",2,,1,1,,
"Casado(a) (043)",13,,2,8,3,
"Viudo(a) (044)",2,,,,1,1
"Soltero(a) (046)",6,,6,,,
,,,,,,
"AREA RURAL (048)",55,,29,19,5,2
"Conviviente (049)",29,,11,14,2,2
"Separado(a) (050)",2,,1,1,,
"Casado(a) (051)",8,,2,3,3,
"Soltero(a) (054)",16,,15,1,,
"Hombres (056)",23,,10,8,3,2
"Conviviente (057)",13,,4,6,1,2
"Casado(a) (059)",4,,,2,2,
"Soltero(a) (062)",6,,6,,,
"Mujeres (064)",32,,19,11,2,
"Conviviente (065)",16,,7,8,1,
"Separado(a) (066)",2,,1,1,,
"Casado(a) (067)",4,,2,1,1,
"Soltero(a) (070)",10,,9,1,,
