"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,74,3765,4481,1342,387,154,65,11,,1669
"Sin Nivel (001)",2539,20,666,991,377,145,65,38,5,,232
"Educación Inicial (002)",26,1,11,5,2,1,,,,,6
"Primaria (003)",5227,37,1876,1916,545,157,59,23,5,,609
"Secundaria (004)",3534,15,1141,1354,310,53,25,2,1,,633
"Sup. no Univ. Incompleta (005)",209,,31,72,28,6,,1,,,71
"Sup. no Univ. Completa (006)",157,,22,63,32,7,2,,,,31
"Sup. Univ. Incompleta (007)",100,,11,33,11,5,,,,,40
"Sup. Univ. Completa (008)",156,1,7,47,37,13,3,1,,,47
,,,,,,,,,,,
"URBANA (010)",7851,54,2480,2892,828,243,88,31,8,,1227
"Sin Nivel (011)",1071,9,300,377,139,70,28,15,2,,131
"Educación Inicial (012)",18,1,8,3,2,,,,,,4
"Primaria (013)",3451,30,1218,1256,352,104,34,12,5,,440
"Secundaria (014)",2794,13,907,1073,240,43,21,2,1,,494
"Sup. no Univ. Incompleta (015)",167,,21,62,23,5,,1,,,55
"Sup. no Univ. Completa (016)",125,,13,48,28,6,2,,,,28
"Sup. Univ. Incompleta (017)",83,,9,29,8,3,,,,,34
"Sup. Univ. Completa (018)",142,1,4,44,36,12,3,1,,,41
,,,,,,,,,,,
"RURAL (020)",4097,20,1285,1589,514,144,66,34,3,,442
"Sin Nivel (021)",1468,11,366,614,238,75,37,23,3,,101
"Educación Inicial (022)",8,,3,2,,1,,,,,2
"Primaria (023)",1776,7,658,660,193,53,25,11,,,169
"Secundaria (024)",740,2,234,281,70,10,4,,,,139
"Sup. no Univ. Incompleta (025)",42,,10,10,5,1,,,,,16
"Sup. no Univ. Completa (026)",32,,9,15,4,1,,,,,3
"Sup. Univ. Incompleta (027)",17,,2,4,3,2,,,,,6
"Sup. Univ. Completa (028)",14,,3,3,1,1,,,,,6
