"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ISLAY (000)",52264,7151,14294,3244,27771
"Menos de 1 año (001)",711,301,180,21,209
"De 1 a 14 años (002)",12626,4474,3251,470,4462
"De 15 a 29 años (003)",12764,1140,2036,726,8903
"De 30 a 44 años (004)",11667,646,3386,814,6894
"De 45 a 64 años (005)",9675,454,3282,783,5198
"De 65 y mas años (006)",4821,136,2159,430,2105
"Hombres (008)",26846,3254,7293,1969,14470
"Menos de 1 año (009)",365,157,86,8,114
"De 1 a 14 años (010)",6348,2258,1623,220,2260
"De 15 a 29 años (011)",6468,413,1048,467,4573
"De 30 a 44 años (012)",5945,191,1675,548,3587
"De 45 a 64 años (013)",5169,174,1716,490,2820
"De 65 y mas años (014)",2551,61,1145,236,1116
"Mujeres (016)",25418,3897,7001,1275,13301
"Menos de 1 año (017)",346,144,94,13,95
"De 1 a 14 años (018)",6278,2216,1628,250,2202
"De 15 a 29 años (019)",6296,727,988,259,4330
"De 30 a 44 años (020)",5722,455,1711,266,3307
"De 45 a 64 años (021)",4506,280,1566,293,2378
"De 65 y mas años (022)",2270,75,1014,194,989
,,,,,
"URBANA (024)",47402,6417,13389,2928,24804
"Menos de 1 año (025)",653,275,176,20,182
"De 1 a 14 años (026)",11537,3929,3176,444,4019
"De 15 a 29 años (027)",11517,1054,1834,622,8022
"De 30 a 44 años (028)",10487,606,3082,724,6122
"De 45 a 64 años (029)",8792,427,3061,725,4614
"De 65 y mas años (030)",4416,126,2060,393,1845
"Hombres (032)",23975,2892,6611,1722,12831
"Menos de 1 año (033)",332,143,83,7,99
"De 1 a 14 años (034)",5784,1972,1591,202,2032
"De 15 a 29 años (035)",5713,382,876,376,4087
"De 30 a 44 años (036)",5212,179,1431,468,3164
"De 45 a 64 años (037)",4618,160,1545,456,2481
"De 65 y mas años (038)",2316,56,1085,213,968
"Mujeres (040)",23427,3525,6778,1206,11973
"Menos de 1 año (041)",321,132,93,13,83
"De 1 a 14 años (042)",5753,1957,1585,242,1987
"De 15 a 29 años (043)",5804,672,958,246,3935
"De 30 a 44 años (044)",5275,427,1651,256,2958
"De 45 a 64 años (045)",4174,267,1516,269,2133
"De 65 y mas años (046)",2100,70,975,180,877
,,,,,
"RURAL (048)",4862,734,905,316,2967
"Menos de 1 año (049)",58,26,4,1,27
"De 1 a 14 años (050)",1089,545,75,26,443
"De 15 a 29 años (051)",1247,86,202,104,881
"De 30 a 44 años (052)",1180,40,304,90,772
"De 45 a 64 años (053)",883,27,221,58,584
"De 65 y mas años (054)",405,10,99,37,260
"Hombres (056)",2871,362,682,247,1639
"Menos de 1 año (057)",33,14,3,1,15
"De 1 a 14 años (058)",564,286,32,18,228
"De 15 a 29 años (059)",755,31,172,91,486
"De 30 a 44 años (060)",733,12,244,80,423
"De 45 a 64 años (061)",551,14,171,34,339
"De 65 y mas años (062)",235,5,60,23,148
"Mujeres (064)",1991,372,223,69,1328
"Menos de 1 año (065)",25,12,1,,12
"De 1 a 14 años (066)",525,259,43,8,215
"De 15 a 29 años (067)",492,55,30,13,395
"De 30 a 44 años (068)",447,28,60,10,349
"De 45 a 64 años (069)",332,13,50,24,245
"De 65 y mas años (070)",170,5,39,14,112
