"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia HUANCAVELICA",,,,
"Viviendas particulares (001)",15217,9845,3744,1628
"Ocupantes presentes (002)",64069,42852,14690,6527
"Casa independiente",,,,
"Viviendas particulares (004)",12771,8906,2356,1509
"Ocupantes presentes (005)",55659,39663,9945,6051
"Departamento en edificio",,,,
"Viviendas particulares (007)",115,100,15,
"Ocupantes presentes (008)",326,284,42,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",503,374,129,
"Ocupantes presentes (011)",1641,1216,425,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",1726,449,1230,47
"Ocupantes presentes (014)",6031,1645,4237,149
"Choza o cabaña",,,,
"Viviendas particulares (016)",58,,,58
"Ocupantes presentes (017)",285,,,285
"Vivienda improvisada",,,,
"Viviendas particulares (019)",15,1,12,2
"Ocupantes presentes (020)",43,5,34,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",29,15,2,12
"Ocupantes presentes (023)",84,39,7,38
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",13456,8810,3292,1354
"Ocupantes presentes (029)",56514,38023,12924,5567
"Casa independiente",,,,
"Viviendas particulares (031)",11204,7943,2020,1241
"Ocupantes presentes (032)",48845,35122,8610,5113
"Departamento en edificio",,,,
"Viviendas particulares (034)",106,92,14,
"Ocupantes presentes (035)",305,265,40,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",458,357,101,
"Ocupantes presentes (038)",1495,1155,340,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",1590,402,1146,42
"Ocupantes presentes (041)",5476,1437,3907,132
"Choza o cabaña",,,,
"Viviendas particulares (043)",58,,,58
"Ocupantes presentes (044)",285,,,285
"Vivienda improvisada",,,,
"Viviendas particulares (046)",12,1,9,2
"Ocupantes presentes (047)",29,5,20,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",28,15,2,11
"Ocupantes presentes (050)",79,39,7,33
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",1761,1035,452,274
"Ocupantes presentes (056)",7555,4829,1766,960
"Casa independiente",,,,
"Viviendas particulares (058)",1567,963,336,268
"Ocupantes presentes (059)",6814,4541,1335,938
"Departamento en edificio",,,,
"Viviendas particulares (061)",9,8,1,
"Ocupantes presentes (062)",21,19,2,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",45,17,28,
"Ocupantes presentes (065)",146,61,85,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",136,47,84,5
"Ocupantes presentes (068)",555,208,330,17
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",3,,3,
"Ocupantes presentes (074)",14,,14,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,,,1
"Ocupantes presentes (077)",5,,,5
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",11491,7959,2800,732
"Ocupantes presentes (110)",47916,34434,10826,2656
"Casa independiente",,,,
"Viviendas particulares (112)",9104,7021,1412,671
"Ocupantes presentes (113)",39793,31247,6081,2465
"Departamento en edificio",,,,
"Viviendas particulares (115)",115,100,15,
"Ocupantes presentes (116)",326,284,42,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",503,374,129,
"Ocupantes presentes (119)",1641,1216,425,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",1726,449,1230,47
"Ocupantes presentes (122)",6031,1645,4237,149
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",15,1,12,2
"Ocupantes presentes (128)",43,5,34,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",28,14,2,12
"Ocupantes presentes (131)",82,37,7,38
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",10160,7187,2484,489
"Ocupantes presentes (137)",42216,30795,9609,1812
"Casa independiente",,,,
"Viviendas particulares (139)",7967,6321,1212,434
"Ocupantes presentes (140)",34834,27896,5295,1643
"Departamento en edificio",,,,
"Viviendas particulares (142)",106,92,14,
"Ocupantes presentes (143)",305,265,40,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",458,357,101,
"Ocupantes presentes (146)",1495,1155,340,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",1590,402,1146,42
"Ocupantes presentes (149)",5476,1437,3907,132
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",12,1,9,2
"Ocupantes presentes (155)",29,5,20,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",27,14,2,11
"Ocupantes presentes (158)",77,37,7,33
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",1331,772,316,243
"Ocupantes presentes (164)",5700,3639,1217,844
"Casa independiente",,,,
"Viviendas particulares (166)",1137,700,200,237
"Ocupantes presentes (167)",4959,3351,786,822
"Departamento en edificio",,,,
"Viviendas particulares (169)",9,8,1,
"Ocupantes presentes (170)",21,19,2,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",45,17,28,
"Ocupantes presentes (173)",146,61,85,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",136,47,84,5
"Ocupantes presentes (176)",555,208,330,17
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",3,,3,
"Ocupantes presentes (182)",14,,14,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,,,1
"Ocupantes presentes (185)",5,,,5
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",3726,1886,944,896
"Ocupantes presentes (218)",16153,8418,3864,3871
"Casa independiente",,,,
"Viviendas particulares (220)",3667,1885,944,838
"Ocupantes presentes (221)",15866,8416,3864,3586
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",58,,,58
"Ocupantes presentes (233)",285,,,285
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",2,2,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",3296,1623,808,865
"Ocupantes presentes (245)",14298,7228,3315,3755
"Casa independiente",,,,
"Viviendas particulares (247)",3237,1622,808,807
"Ocupantes presentes (248)",14011,7226,3315,3470
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",58,,,58
"Ocupantes presentes (260)",285,,,285
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",2,2,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",430,263,136,31
"Ocupantes presentes (272)",1855,1190,549,116
"Casa independiente",,,,
"Viviendas particulares (274)",430,263,136,31
"Ocupantes presentes (275)",1855,1190,549,116
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
