"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",124008,20065,1722,53629,36350,2119,2494,2911,4718
"Hombres (001)",60090,4429,859,27619,20633,1120,1369,1548,2513
"Mujeres (002)",63918,15636,863,26010,15717,999,1125,1363,2205
"PEA (003)",44285,5638,62,16062,14259,1120,2003,1304,3837
"Hombres (004)",29679,2475,35,11718,10612,693,1176,810,2160
"Mujeres (005)",14606,3163,27,4344,3647,427,827,494,1677
"Ocupada (006)",42292,5429,58,15344,13484,1068,1937,1234,3738
"Hombres (007)",28173,2328,34,11121,10007,671,1136,767,2109
"Mujeres (008)",14119,3101,24,4223,3477,397,801,467,1629
"Desocupada (009)",1993,209,4,718,775,52,66,70,99
"Hombres (010)",1506,147,1,597,605,22,40,43,51
"Mujeres (011)",487,62,3,121,170,30,26,27,48
"No PEA (012)",79723,14427,1660,37567,22091,999,491,1607,881
"Hombres (013)",30411,1954,824,15901,10021,427,193,738,353
"Mujeres (014)",49312,12473,836,21666,12070,572,298,869,528
,,,,,,,,,
"URBANA (018)",56395,4951,675,20161,19452,1723,2269,2649,4515
"Hombres (019)",27262,830,333,9792,10479,876,1226,1369,2357
"Mujeres (020)",29133,4121,342,10369,8973,847,1043,1280,2158
"PEA (021)",22954,1398,31,5656,8179,965,1829,1216,3680
"Hombres (022)",13982,427,20,3561,5572,567,1057,742,2036
"Mujeres (023)",8972,971,11,2095,2607,398,772,474,1644
"Ocupada (024)",21984,1337,28,5428,7753,922,1774,1153,3589
"Hombres (025)",13350,392,19,3394,5272,552,1024,704,1993
"Mujeres (026)",8634,945,9,2034,2481,370,750,449,1596
"Desocupada (027)",970,61,3,228,426,43,55,63,91
"Hombres (028)",632,35,1,167,300,15,33,38,43
"Mujeres (029)",338,26,2,61,126,28,22,25,48
"No PEA (030)",33441,3553,644,14505,11273,758,440,1433,835
"Hombres (031)",13280,403,313,6231,4907,309,169,627,321
"Mujeres (032)",20161,3150,331,8274,6366,449,271,806,514
,,,,,,,,,
"RURAL (036)",67613,15114,1047,33468,16898,396,225,262,203
"Hombres (037)",32828,3599,526,17827,10154,244,143,179,156
"Mujeres (038)",34785,11515,521,15641,6744,152,82,83,47
"PEA (039)",21331,4240,31,10406,6080,155,174,88,157
"Hombres (040)",15697,2048,15,8157,5040,126,119,68,124
"Mujeres (041)",5634,2192,16,2249,1040,29,55,20,33
"Ocupada (042)",20308,4092,30,9916,5731,146,163,81,149
"Hombres (043)",14823,1936,15,7727,4735,119,112,63,116
"Mujeres (044)",5485,2156,15,2189,996,27,51,18,33
"Desocupada (045)",1023,148,1,490,349,9,11,7,8
"Hombres (046)",874,112,,430,305,7,7,5,8
"Mujeres (047)",149,36,1,60,44,2,4,2,
"No PEA (048)",46282,10874,1016,23062,10818,241,51,174,46
"Hombres (049)",17131,1551,511,9670,5114,118,24,111,32
"Mujeres (050)",29151,9323,505,13392,5704,123,27,63,14
