"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAURA (000)",55397,609,18388,17733,7210,2854,1183,364,46,,7010
"Sin Nivel (001)",4932,129,2087,1378,394,209,130,56,9,,540
"Educación Inicial (002)",42,,19,10,3,1,1,,,,8
"Primaria (003)",14656,260,6402,4542,1355,546,295,111,17,,1128
"Secundaria (004)",19045,169,7154,6393,2027,686,288,87,6,,2235
"Sup. no Univ. Incompleta (005)",1934,10,477,684,319,90,35,6,,,313
"Sup. no Univ. Completa (006)",3228,10,549,1269,640,208,69,18,1,,464
"Sup. Univ. Incompleta (007)",3695,12,741,1275,568,191,62,11,6,,829
"Sup. Univ. Completa (008)",7865,19,959,2182,1904,923,303,75,7,,1493
,,,,,,,,,,,
"URBANA (010)",48596,490,15524,15498,6595,2671,1098,330,41,,6349
"Sin Nivel (011)",3467,89,1414,926,298,173,106,43,5,,413
"Educación Inicial (012)",40,,17,10,3,1,1,,,,8
"Primaria (013)",12050,208,5182,3706,1156,480,261,100,16,,941
"Secundaria (014)",17005,144,6321,5688,1835,646,272,79,6,,2014
"Sup. no Univ. Incompleta (015)",1810,10,450,646,298,81,33,6,,,286
"Sup. no Univ. Completa (016)",3044,9,512,1205,597,200,67,18,1,,435
"Sup. Univ. Incompleta (017)",3524,11,703,1210,541,187,57,11,6,,798
"Sup. Univ. Completa (018)",7656,19,925,2107,1867,903,301,73,7,,1454
,,,,,,,,,,,
"RURAL (020)",6801,119,2864,2235,615,183,85,34,5,,661
"Sin Nivel (021)",1465,40,673,452,96,36,24,13,4,,127
"Educación Inicial (022)",2,,2,,,,,,,,
"Primaria (023)",2606,52,1220,836,199,66,34,11,1,,187
"Secundaria (024)",2040,25,833,705,192,40,16,8,,,221
"Sup. no Univ. Incompleta (025)",124,,27,38,21,9,2,,,,27
"Sup. no Univ. Completa (026)",184,1,37,64,43,8,2,,,,29
"Sup. Univ. Incompleta (027)",171,1,38,65,27,4,5,,,,31
"Sup. Univ. Completa (028)",209,,34,75,37,20,2,2,,,39
