"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ESPINAR (000)",35226,34473,753
"Hombres (001)",17326,17032,294
"Mujeres (002)",17900,17441,459
"De 18 a 29 años (003)",11572,11212,360
"Hombres (004)",5581,5393,188
"Mujeres (005)",5991,5819,172
"De 30 a 44 años (006)",11108,11066,42
"Hombres (007)",5531,5512,19
"Mujeres (008)",5577,5554,23
"De 45 a 64 años (009)",8516,8464,52
"Hombres (010)",4356,4343,13
"Mujeres (011)",4160,4121,39
"De 65 y más años (012)",4030,3731,299
"Hombres (013)",1858,1784,74
"Mujeres (014)",2172,1947,225
,,,
"URBANA (015)",15794,15524,270
"Hombres (016)",7885,7772,113
"Mujeres (017)",7909,7752,157
"De 18 a 29 años (018)",6113,5938,175
"Hombres (019)",2957,2870,87
"Mujeres (020)",3156,3068,88
"De 30 a 44 años (021)",5590,5574,16
"Hombres (022)",2796,2789,7
"Mujeres (023)",2794,2785,9
"De 45 a 64 años (024)",3106,3098,8
"Hombres (025)",1732,1731,1
"Mujeres (026)",1374,1367,7
"De 65 y más años (027)",985,914,71
"Hombres (028)",400,382,18
"Mujeres (029)",585,532,53
,,,
"RURAL (030)",19432,18949,483
"Hombres (031)",9441,9260,181
"Mujeres (032)",9991,9689,302
"De 18 a 29 años (033)",5459,5274,185
"Hombres (034)",2624,2523,101
"Mujeres (035)",2835,2751,84
"De 30 a 44 años (036)",5518,5492,26
"Hombres (037)",2735,2723,12
"Mujeres (038)",2783,2769,14
"De 45 a 64 años (039)",5410,5366,44
"Hombres (040)",2624,2612,12
"Mujeres (041)",2786,2754,32
"De 65 y más años (042)",3045,2817,228
"Hombres (043)",1458,1402,56
"Mujeres (044)",1587,1415,172
