"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALGAYOC (000)",23760,256,9125,8468,2384,776,322,98,14,,2317
"Sin Nivel (001)",11916,147,4539,4458,1239,447,200,69,10,,807
"Educación Inicial (002)",37,1,18,12,1,,,,,,5
"Primaria (003)",8623,87,3678,2914,720,189,74,11,,,950
"Secundaria (004)",1875,15,699,636,176,35,18,8,2,,286
"Sup. no Univ. Incompleta (005)",258,2,57,82,28,10,5,2,,,72
"Sup. no Univ. Completa (006)",750,4,93,278,160,65,14,6,2,,128
"Sup. Univ. Incompleta (007)",65,,13,18,12,3,1,,,,18
"Sup. Univ. Completa (008)",236,,28,70,48,27,10,2,,,51
,,,,,,,,,,,
"URBANA (010)",5347,58,1864,1783,625,220,105,31,4,,657
"Sin Nivel (011)",1580,23,622,566,146,49,40,12,1,,121
"Educación Inicial (012)",13,,9,2,,,,,,,2
"Primaria (013)",1633,18,694,502,155,54,23,5,,,182
"Secundaria (014)",943,12,366,309,95,21,15,5,1,,119
"Sup. no Univ. Incompleta (015)",214,2,49,67,25,7,5,2,,,57
"Sup. no Univ. Completa (016)",685,3,84,254,149,61,11,5,2,,116
"Sup. Univ. Incompleta (017)",59,,12,17,11,3,1,,,,15
"Sup. Univ. Completa (018)",220,,28,66,44,25,10,2,,,45
,,,,,,,,,,,
"RURAL (020)",18413,198,7261,6685,1759,556,217,67,10,,1660
"Sin Nivel (021)",10336,124,3917,3892,1093,398,160,57,9,,686
"Educación Inicial (022)",24,1,9,10,1,,,,,,3
"Primaria (023)",6990,69,2984,2412,565,135,51,6,,,768
"Secundaria (024)",932,3,333,327,81,14,3,3,1,,167
"Sup. no Univ. Incompleta (025)",44,,8,15,3,3,,,,,15
"Sup. no Univ. Completa (026)",65,1,9,24,11,4,3,1,,,12
"Sup. Univ. Incompleta (027)",6,,1,1,1,,,,,,3
"Sup. Univ. Completa (028)",16,,,4,4,2,,,,,6
