"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AREQUIPA (000)",244803,1612,56982,80448,43871,17950,7226,1843,285,,34586
"Sin Nivel (001)",20690,344,6797,6581,2425,1095,598,290,54,,2506
"Educación Inicial (002)",210,,71,63,19,4,,,,,53
"Primaria (003)",41872,496,14747,14441,5272,2051,1146,388,42,,3289
"Secundaria (004)",67610,473,20557,24775,9295,3096,1265,321,51,,7777
"Sup. no Univ. Incompleta (005)",17731,75,3605,6698,2876,878,364,75,13,,3147
"Sup. no Univ. Completa (006)",35599,90,4697,11813,8629,3354,1085,211,25,,5695
"Sup. Univ. Incompleta (007)",16320,48,2594,5519,2904,1078,415,95,17,,3650
"Sup. Univ. Completa (008)",44771,86,3914,10558,12451,6394,2353,463,83,,8469
,,,,,,,,,,,
"URBANA (010)",239298,1536,55055,78544,43221,17727,7095,1803,279,,34038
"Sin Nivel (011)",19538,323,6351,6207,2295,1054,569,280,52,,2407
"Educación Inicial (012)",197,,63,62,18,3,,,,,51
"Primaria (013)",40152,472,14049,13839,5115,1997,1103,370,41,,3166
"Secundaria (014)",66081,451,19993,24230,9134,3045,1243,315,49,,7621
"Sup. no Univ. Incompleta (015)",17468,73,3533,6600,2841,868,357,73,13,,3110
"Sup. no Univ. Completa (016)",35255,88,4642,11686,8561,3328,1074,209,24,,5643
"Sup. Univ. Incompleta (017)",16156,45,2553,5460,2877,1071,411,95,17,,3627
"Sup. Univ. Completa (018)",44451,84,3871,10460,12380,6361,2338,461,83,,8413
,,,,,,,,,,,
"RURAL (020)",5505,76,1927,1904,650,223,131,40,6,,548
"Sin Nivel (021)",1152,21,446,374,130,41,29,10,2,,99
"Educación Inicial (022)",13,,8,1,1,1,,,,,2
"Primaria (023)",1720,24,698,602,157,54,43,18,1,,123
"Secundaria (024)",1529,22,564,545,161,51,22,6,2,,156
"Sup. no Univ. Incompleta (025)",263,2,72,98,35,10,7,2,,,37
"Sup. no Univ. Completa (026)",344,2,55,127,68,26,11,2,1,,52
"Sup. Univ. Incompleta (027)",164,3,41,59,27,7,4,,,,23
"Sup. Univ. Completa (028)",320,2,43,98,71,33,15,2,,,56
