"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CELENDIN (000)",82478,15872,1696,46969,12393,1367,2650,522,1009
"Jefe o Jefa (001)",21691,3601,22,13538,2598,332,1030,134,436
"Esposa(o)/ compa¤era(o) (002)",14509,3856,38,8460,1220,171,569,28,167
"Hijo(a)/ hijastro(a) (003)",35150,5839,1252,19498,6759,589,731,256,226
"Yerno/ nuera (004)",1135,81,2,577,278,50,86,18,43
"Nieto(a) (005)",4298,1080,274,2201,625,45,35,24,14
"Padres/ suegros (006)",706,378,,296,17,,10,1,4
"Otro(a) pariente (007)",4221,935,97,2093,713,130,130,48,75
"Trabajador(a) del hogar (008)",125,27,2,74,20,1,1,,
"Pensionista (009)",41,2,,10,12,5,5,2,5
"Otro(a) no pariente (010)",602,73,9,222,151,44,53,11,39
"Hombres (012)",40428,5562,866,23861,7311,679,1263,304,582
"Jefe o Jefa (013)",16088,1661,13,10841,2145,240,749,104,335
"Esposa(o)/ compa¤era(o) (014)",878,100,5,555,134,20,39,4,21
"Hijo(a)/ hijastro(a) (015)",18142,2780,659,9834,4018,280,315,141,115
"Yerno/ nuera (016)",518,19,,233,158,24,45,10,29
"Nieto(a) (017)",2136,515,139,1093,335,17,17,13,7
"Padres/ suegros (018)",195,64,,120,6,,2,,3
"Otro(a) pariente (019)",2100,384,47,1048,417,68,69,25,42
"Trabajador(a) del hogar (020)",18,9,,6,3,,,,
"Pensionista (021)",30,1,,10,7,4,3,,5
"Otro(a) no pariente (022)",323,29,3,121,88,26,24,7,25
"Mujeres (024)",42050,10310,830,23108,5082,688,1387,218,427
"Jefe o Jefa (025)",5603,1940,9,2697,453,92,281,30,101
"Esposa(o)/ compa¤era(o) (026)",13631,3756,33,7905,1086,151,530,24,146
"Hijo(a)/ hijastro(a) (027)",17008,3059,593,9664,2741,309,416,115,111
"Yerno/ nuera (028)",617,62,2,344,120,26,41,8,14
"Nieto(a) (029)",2162,565,135,1108,290,28,18,11,7
"Padres/ suegros (030)",511,314,,176,11,,8,1,1
"Otro(a) pariente (031)",2121,551,50,1045,296,62,61,23,33
"Trabajador(a) del hogar (032)",107,18,2,68,17,1,1,,
"Pensionista (033)",11,1,,,5,1,2,2,
"Otro(a) no pariente (034)",279,44,6,101,63,18,29,4,14
,,,,,,,,,
"URBANA (036)",20724,2216,544,8086,5322,1032,2205,439,880
"Jefe o Jefa (037)",5635,459,8,2394,1184,248,854,109,379
"Esposa(o)/ compa¤era(o) (038)",3169,347,15,1335,661,131,505,26,149
"Hijo(a)/ hijastro(a) (039)",7846,799,357,2853,2437,417,571,219,193
"Yerno/ nuera (040)",336,6,1,67,107,39,68,11,37
"Nieto(a) (041)",1334,278,114,525,321,31,34,19,12
"Padres/ suegros (042)",288,99,,162,12,,10,1,4
"Otro(a) pariente (043)",1560,185,39,556,439,116,115,41,69
"Trabajador(a) del hogar (044)",89,7,2,61,17,1,1,,
"Pensionista (045)",29,,,6,10,5,1,2,5
