"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SUCRE (000)",11846,6656,1671,138,3389
"Sin Nivel (001)",2079,1255,120,13,691
"Educación Inicial (002)",367,289,48,3,29
"Primaria (003)",4870,3158,467,50,1198
"Secundaria (004)",3317,1724,458,36,1100
"Sup. no Univ. Incompleta (005)",226,72,45,8,101
"Sup. no Univ. Completa (006)",533,95,269,10,160
"Sup. Univ. Incompleta (007)",115,29,32,7,47
"Sup. Univ. Completa (008)",339,34,232,11,63
"Hombres (010)",5827,3168,836,73,1755
"Sin Nivel (011)",580,356,49,6,169
"Educación Inicial (012)",199,157,26,1,15
"Primaria (013)",2427,1574,199,23,634
"Secundaria (014)",1870,952,207,20,691
"Sup. no Univ. Incompleta (015)",126,34,21,5,66
"Sup. no Univ. Completa (016)",320,53,159,7,102
"Sup. Univ. Incompleta (017)",77,20,18,4,35
"Sup. Univ. Completa (018)",228,22,157,7,43
"Mujeres (020)",6019,3488,835,65,1634
"Sin Nivel (021)",1499,899,71,7,522
"Educación Inicial (022)",168,132,22,2,14
"Primaria (023)",2443,1584,268,27,564
"Secundaria (024)",1447,772,251,16,409
"Sup. no Univ. Incompleta (025)",100,38,24,3,35
"Sup. no Univ. Completa (026)",213,42,110,3,58
"Sup. Univ. Incompleta (027)",38,9,14,3,12
"Sup. Univ. Completa (028)",111,12,75,4,20
,,,,,
"URBANA (030)",7231,3608,1369,63,2197
"Sin Nivel (031)",1062,596,85,4,377
"Educación Inicial (032)",258,192,42,1,24
"Primaria (033)",2712,1587,355,13,759
"Secundaria (034)",2195,1072,372,11,741
"Sup. no Univ. Incompleta (035)",185,56,39,6,84
"Sup. no Univ. Completa (036)",451,73,242,10,127
"Sup. Univ. Incompleta (037)",92,17,29,7,39
"Sup. Univ. Completa (038)",276,15,205,11,46
"Hombres (040)",3535,1705,684,36,1114
"Sin Nivel (041)",288,174,35,1,78
"Educación Inicial (042)",141,104,23,,14
"Primaria (043)",1299,771,153,7,370
"Secundaria (044)",1197,565,165,6,461
"Sup. no Univ. Incompleta (045)",101,27,17,4,53
"Sup. no Univ. Completa (046)",266,40,141,7,79
"Sup. Univ. Incompleta (047)",65,14,15,4,32
"Sup. Univ. Completa (048)",178,10,135,7,27
"Mujeres (050)",3696,1903,685,27,1083
"Sin Nivel (051)",774,422,50,3,299
"Educación Inicial (052)",117,88,19,1,10
"Primaria (053)",1413,816,202,6,389
"Secundaria (054)",998,507,207,5,280
"Sup. no Univ. Incompleta (055)",84,29,22,2,31
"Sup. no Univ. Completa (056)",185,33,101,3,48
"Sup. Univ. Incompleta (057)",27,3,14,3,7
"Sup. Univ. Completa (058)",98,5,70,4,19
,,,,,
"RURAL (060)",4615,3048,302,75,1192
"Sin Nivel (061)",1017,659,35,9,314
"Educación Inicial (062)",109,97,6,2,5
"Primaria (063)",2158,1571,112,37,439
"Secundaria (064)",1122,652,86,25,359
"Sup. no Univ. Incompleta (065)",41,16,6,2,17
"Sup. no Univ. Completa (066)",82,22,27,,33
"Sup. Univ. Incompleta (067)",23,12,3,,8
"Sup. Univ. Completa (068)",63,19,27,,17
"Hombres (070)",2292,1463,152,37,641
"Sin Nivel (071)",292,182,14,5,91
"Educación Inicial (072)",58,53,3,1,1
"Primaria (073)",1128,803,46,16,264
"Secundaria (074)",673,387,42,14,230
"Sup. no Univ. Incompleta (075)",25,7,4,1,13
"Sup. no Univ. Completa (076)",54,13,18,,23
"Sup. Univ. Incompleta (077)",12,6,3,,3
"Sup. Univ. Completa (078)",50,12,22,,16
"Mujeres (080)",2323,1585,150,38,551
"Sin Nivel (081)",725,477,21,4,223
"Educación Inicial (082)",51,44,3,1,4
"Primaria (083)",1030,768,66,21,175
"Secundaria (084)",449,265,44,11,129
"Sup. no Univ. Incompleta (085)",16,9,2,1,4
"Sup. no Univ. Completa (086)",28,9,9,,10
"Sup. Univ. Incompleta (087)",11,6,,,5
"Sup. Univ. Completa (088)",13,7,5,,1
