"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia FERREÑAFE (000)",82755,10415,1802,33681,24352,3313,4785,1728,2679
"Hombres (001)",40850,3077,875,16961,13583,1726,2222,931,1475
"Mujeres (002)",41905,7338,927,16720,10769,1587,2563,797,1204
"PEA (003)",30094,3071,80,9418,10136,1585,3116,682,2006
"Hombres (004)",22230,1778,45,7362,8302,1122,1892,475,1254
"Mujeres (005)",7864,1293,35,2056,1834,463,1224,207,752
"Ocupada (006)",27955,2938,77,8834,9252,1452,2904,623,1875
"Hombres (007)",20603,1671,44,6864,7595,1044,1766,435,1184
"Mujeres (008)",7352,1267,33,1970,1657,408,1138,188,691
"Desocupada (009)",2139,133,3,584,884,133,212,59,131
"Hombres (010)",1627,107,1,498,707,78,126,40,70
"Mujeres (011)",512,26,2,86,177,55,86,19,61
"No PEA (012)",52661,7344,1722,24263,14216,1728,1669,1046,673
"Hombres (013)",18620,1299,830,9599,5281,604,330,456,221
"Mujeres (014)",34041,6045,892,14664,8935,1124,1339,590,452
,,,,,,,,,
"URBANA (018)",45709,2667,738,15217,16092,2762,4210,1565,2458
"Hombres (019)",22214,861,367,7225,8399,1388,1851,809,1314
"Mujeres (020)",23495,1806,371,7992,7693,1374,2359,756,1144
"PEA (021)",17598,725,17,3724,6693,1323,2693,602,1821
"Hombres (022)",12407,441,9,2714,5244,916,1568,405,1110
"Mujeres (023)",5191,284,8,1010,1449,407,1125,197,711
"Ocupada (024)",16133,658,14,3413,6070,1216,2512,547,1703
"Hombres (025)",11363,391,8,2462,4761,856,1467,369,1049
"Mujeres (026)",4770,267,6,951,1309,360,1045,178,654
"Desocupada (027)",1465,67,3,311,623,107,181,55,118
"Hombres (028)",1044,50,1,252,483,60,101,36,61
"Mujeres (029)",421,17,2,59,140,47,80,19,57
"No PEA (030)",28111,1942,721,11493,9399,1439,1517,963,637
"Hombres (031)",9807,420,358,4511,3155,472,283,404,204
"Mujeres (032)",18304,1522,363,6982,6244,967,1234,559,433
,,,,,,,,,
"RURAL (036)",37046,7748,1064,18464,8260,551,575,163,221
"Hombres (037)",18636,2216,508,9736,5184,338,371,122,161
"Mujeres (038)",18410,5532,556,8728,3076,213,204,41,60
"PEA (039)",12496,2346,63,5694,3443,262,423,80,185
"Hombres (040)",9823,1337,36,4648,3058,206,324,70,144
"Mujeres (041)",2673,1009,27,1046,385,56,99,10,41
"Ocupada (042)",11822,2280,63,5421,3182,236,392,76,172
"Hombres (043)",9240,1280,36,4402,2834,188,299,66,135
"Mujeres (044)",2582,1000,27,1019,348,48,93,10,37
"Desocupada (045)",674,66,,273,261,26,31,4,13
"Hombres (046)",583,57,,246,224,18,25,4,9
"Mujeres (047)",91,9,,27,37,8,6,,4
"No PEA (048)",24550,5402,1001,12770,4817,289,152,83,36
"Hombres (049)",8813,879,472,5088,2126,132,47,52,17
"Mujeres (050)",15737,4523,529,7682,2691,157,105,31,19
