"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TARMA (000)",106217,11760,2511,41223,33716,4596,4816,2818,4777
"Quechua (001)",5657,1923,25,2767,711,51,60,37,83
"Aymara (002)",24,6,,10,3,1,2,,2
"Ashaninca (003)",9,1,,5,2,,,1,
"Otra lengua nativa (004)",57,4,1,27,19,4,1,,1
"Castellano (005)",100309,9702,2483,38398,32969,4540,4751,2780,4686
"Idioma extranjero (006)",11,,,1,4,,1,,5
"Es sordomudo/a (007)",150,124,2,15,8,,1,,
"Hombres (009)",52113,4070,1257,19872,18399,2357,2299,1455,2404
"Quechua (010)",2542,374,11,1492,496,41,42,28,58
"Aymara (011)",12,2,,4,3,,1,,2
"Ashaninca (012)",4,1,,1,2,,,,
"Otra lengua nativa (013)",30,3,,15,8,3,1,,
"Castellano (014)",49433,3623,1244,18351,17881,2313,2253,1427,2341
"Idioma extranjero (015)",7,,,,3,,1,,3
"Es sordomudo/a (016)",85,67,2,9,6,,1,,
"Mujeres (018)",54104,7690,1254,21351,15317,2239,2517,1363,2373
"Quechua (019)",3115,1549,14,1275,215,10,18,9,25
"Aymara (020)",12,4,,6,,1,1,,
"Ashaninca (021)",5,,,4,,,,1,
"Otra lengua nativa (022)",27,1,1,12,11,1,,,1
"Castellano (023)",50876,6079,1239,20047,15088,2227,2498,1353,2345
"Idioma extranjero (024)",4,,,1,1,,,,2
"Es sordomudo/a (025)",65,57,,6,2,,,,
,,,,,,,,,
"URBANA (027)",68807,6413,1743,22299,23004,3939,4362,2553,4494
"Quechua (028)",2795,955,5,1259,362,44,56,34,80
"Aymara (029)",19,3,,8,3,1,2,,2
"Ashaninca (030)",9,1,,5,2,,,1,
"Otra lengua nativa (031)",52,3,1,25,17,4,1,,1
"Castellano (032)",65854,5399,1736,20993,22611,3890,4301,2518,4406
"Idioma extranjero (033)",11,,,1,4,,1,,5
"Es sordomudo/a (034)",67,52,1,8,5,,1,,
"Hombres (036)",33381,2212,875,10526,12145,2009,2062,1317,2235
"Quechua (037)",1234,145,2,677,255,35,38,26,56
"Aymara (038)",11,1,,4,3,,1,,2
"Ashaninca (039)",4,1,,1,2,,,,
"Otra lengua nativa (040)",28,2,,15,7,3,1,,
"Castellano (041)",32058,2034,872,9824,11872,1971,2020,1291,2174
"Idioma extranjero (042)",7,,,,3,,1,,3
"Es sordomudo/a (043)",39,29,1,5,3,,1,,
"Mujeres (045)",35426,4201,868,11773,10859,1930,2300,1236,2259
"Quechua (046)",1561,810,3,582,107,9,18,8,24
"Aymara (047)",8,2,,4,,1,1,,
"Ashaninca (048)",5,,,4,,,,1,
"Otra lengua nativa (049)",24,1,1,10,10,1,,,1
"Castellano (050)",33796,3365,864,11169,10739,1919,2281,1227,2232
"Idioma extranjero (051)",4,,,1,1,,,,2
"Es sordomudo/a (052)",28,23,,3,2,,,,
,,,,,,,,,
"RURAL (054)",37410,5347,768,18924,10712,657,454,265,283
"Quechua (055)",2862,968,20,1508,349,7,4,3,3
"Aymara (056)",5,3,,2,,,,,
"Otra lengua nativa (058)",5,1,,2,2,,,,
"Castellano (059)",34455,4303,747,17405,10358,650,450,262,280
"Es sordomudo/a (061)",83,72,1,7,3,,,,
"Hombres (063)",18732,1858,382,9346,6254,348,237,138,169
"Quechua (064)",1308,229,9,815,241,6,4,2,2
"Aymara (065)",1,1,,,,,,,
"Otra lengua nativa (067)",2,1,,,1,,,,
"Castellano (068)",17375,1589,372,8527,6009,342,233,136,167
"Es sordomudo/a (070)",46,38,1,4,3,,,,
"Mujeres (072)",18678,3489,386,9578,4458,309,217,127,114
"Quechua (073)",1554,739,11,693,108,1,,1,1
"Aymara (074)",4,2,,2,,,,,
"Otra lengua nativa (076)",3,,,2,1,,,,
"Castellano (077)",17080,2714,375,8878,4349,308,217,126,113
"Es sordomudo/a (079)",37,34,,3,,,,,
