"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia YAROWILCA (000)",270,87,183
"De 14 a 29 años (001)",160,65,95
"De 30 a 44 años (002)",63,16,47
"De 45 a 64 años (003)",37,6,31
"De 65 y más años (004)",10,,10
"Hombres (005)",206,53,153
"De 14 a 29 años (006)",111,37,74
"De 30 a 44 años (007)",54,12,42
"De 45 a 64 años (008)",32,4,28
"De 65 y más años (009)",9,,9
"Mujeres (010)",64,34,30
"De 14 a 29 años (011)",49,28,21
"De 30 a 44 años (012)",9,4,5
"De 45 a 64 años (013)",5,2,3
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",132,52,80
"De 14 a 29 años (016)",78,41,37
"De 30 a 44 años (017)",33,9,24
"De 45 a 64 años (018)",17,2,15
"De 65 y más años (019)",4,,4
"Hombres (020)",97,31,66
"De 14 a 29 años (021)",52,23,29
"De 30 a 44 años (022)",27,7,20
"De 45 a 64 años (023)",15,1,14
"De 65 y más años (024)",3,,3
"Mujeres (025)",35,21,14
"De 14 a 29 años (026)",26,18,8
"De 30 a 44 años (027)",6,2,4
"De 45 a 64 años (028)",2,1,1
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",138,35,103
"De 14 a 29 años (031)",82,24,58
"De 30 a 44 años (032)",30,7,23
"De 45 a 64 años (033)",20,4,16
"De 65 y más años (034)",6,,6
"Hombres (035)",109,22,87
"De 14 a 29 años (036)",59,14,45
"De 30 a 44 años (037)",27,5,22
"De 45 a 64 años (038)",17,3,14
"De 65 y más años (039)",6,,6
"Mujeres (040)",29,13,16
"De 14 a 29 años (041)",23,10,13
"De 30 a 44 años (042)",3,2,1
"De 45 a 64 años (043)",3,1,2
