"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SECHURA (000)",20424,569,8403,6430,4156,866
"Agric., ganadería, caza y silvicultura (001)",4429,121,1426,1196,1188,498
"Pesca (002)",3992,114,2038,1200,588,52
"Explotación de minas y canteras (003)",24,,5,14,5,
"Industrias manufactureras (004)",1715,68,758,554,278,57
"Suministro de electricidad, gas y agua (005)",25,,6,14,4,1
"Construcción (006)",638,5,209,266,150,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3127,134,1050,1102,716,125
"Venta, mant.y rep. veh.autom.y motoc. (008)",249,2,120,78,41,8
"Comercio al por mayor (009)",338,7,145,113,64,9
"Comercio al por menor (010)",2540,125,785,911,611,108
"Hoteles y restaurantes (011)",733,31,272,211,186,33
"Trans., almac. y comunicaciones (012)",1684,13,794,563,296,18
"Intermediación financiera (013)",34,,19,12,3,
"Activid.inmobil., empres. y alquileres (014)",403,2,180,143,71,7
"Admin.pub. y defensa; p. segur.soc afil (015)",704,,290,252,156,6
"Enseñanza (016)",663,,233,289,141,
"Servicios sociales y de salud (017)",138,,52,65,20,1
"Otras activ. serv.comun.soc y personales (018)",432,7,177,139,89,20
"Hogares privados con servicio doméstico (019)",438,32,287,78,40,1
"Actividad economica no especificada (021)",266,1,110,71,70,14
"Desocupado (022)",979,41,497,261,155,25
"Hombres (023)",14993,393,6054,4656,3168,722
"Agric., ganadería, caza y silvicultura (024)",4192,112,1364,1132,1109,475
"Pesca (025)",3923,109,1998,1181,584,51
"Explotación de minas y canteras (026)",20,,2,13,5,
"Industrias manufactureras (027)",960,25,389,309,188,49
"Suministro de electricidad, gas y agua (028)",23,,5,13,4,1
"Construcción (029)",622,5,203,257,149,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1355,81,493,429,298,54
"Venta, mant.y rep. veh.autom.y motoc. (031)",237,2,116,74,37,8
"Comercio al por mayor (032)",245,3,100,80,54,8
"Comercio al por menor (033)",873,76,277,275,207,38
"Hoteles y restaurantes (034)",119,11,41,33,29,5
"Trans., almac. y comunicaciones (035)",1611,13,734,550,296,18
"Intermediación financiera (036)",14,,4,9,1,
"Activid.inmobil., empres. y alquileres (037)",263,1,97,100,58,7
"Admin.pub. y defensa; p. segur.soc afil (038)",386,,113,143,124,6
"Enseñanza (039)",264,,56,128,80,
"Servicios sociales y de salud (040)",49,,14,24,10,1
