"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LA MAR (000)",27397,84833,71966,,1715,84.8,2
"De 12 a 14 años (001)",3290,21,21,,5,100,23.8
"De 15 a 19 años (002)",3741,1111,1089,284,98,25.6,
"De 20 a 24 años (003)",2975,3605,3519,374,97.6,10.4,
"De 25 a 29 años (004)",2878,6131,5872,377,95.8,6.1,
"De 30 a 34 años (005)",2623,8582,8094,319,94.3,3.7,
"De 35 a 39 años (006)",2482,10359,9562,213,92.3,2.1,
"De 40 a 44 años (007)",2157,11428,10197,120,89.2,1.1,
"De 45 a 49 años (008)",1773,10306,8832,23,85.7,0.2,
"De 50 y más años (009)",5478,33290,24780,,74.4,,
"PEA (010)",7563,24027,20872,384,86.9,1.6,
"De 12 a 14 años (011)",194,5,5,,100,,
"De 15 a 19 años (012)",740,254,247,49,97.2,19.3,
"De 20 a 24 años (013)",966,1040,1021,83,98.2,8,
"De 25 a 29 años (014)",1016,1758,1681,95,95.6,5.4,
"De 30 a 34 años (015)",932,2591,2455,69,94.8,2.7,
"De 35 a 39 años (016)",934,3452,3217,55,93.2,1.6,
"De 40 a 44 años (017)",776,3601,3223,29,89.5,0.8,
"De 45 a 49 años (018)",646,3332,2888,4,86.7,0.1,
"De 50 y más años (019)",1359,7994,6135,,76.7,,
"Ocupada (020)",7212,23291,20223,368,86.8,1.6,
"De 12 a 14 años (021)",177,5,5,,100,,
"De 15 a 19 años (022)",665,242,235,48,97.1,19.8,
"De 20 a 24 años (023)",904,992,975,81,98.3,8.2,
"De 25 a 29 años (024)",962,1684,1611,85,95.7,5,
"De 30 a 34 años (025)",889,2450,2325,67,94.9,2.7,
"De 35 a 39 años (026)",906,3350,3119,55,93.1,1.6,
"De 40 a 44 años (027)",751,3502,3134,28,89.5,0.8,
"De 45 a 49 años (028)",625,3231,2801,4,86.7,0.1,
"De 50 y más años (029)",1333,7835,6018,,76.8,,
"Desocupada (030)",351,736,649,16,88.2,2.2,
"De 12 a 14 años (031)",17,,,,,,
"De 15 a 19 años (032)",75,12,12,1,100,8.3,
"De 20 a 24 años (033)",62,48,46,2,95.8,4.2,
"De 25 a 29 años (034)",54,74,70,10,94.6,13.5,
"De 30 a 34 años (035)",43,141,130,2,92.2,1.4,
