"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",9695,3414,1032,161,5096
"Hombres (001)",4935,1588,528,103,2721
"Mujeres (002)",4760,1826,504,58,2375
"PEA (003)",4033,915,584,107,2433
"Hombres (004)",2746,584,320,77,1769
"Mujeres (005)",1287,331,264,30,664
"Ocupada (006)",3869,879,581,107,2308
"Hombres (007)",2615,553,318,77,1671
"Mujeres (008)",1254,326,263,30,637
"Desocupada (009)",164,36,3,,125
"Hombres (010)",131,31,2,,98
"Mujeres (011)",33,5,1,,27
"No PEA (012)",5662,2499,448,54,2663
"Hombres (013)",2189,1004,208,26,952
"Mujeres (014)",3473,1495,240,28,1711
,,,,,
"URBANA (018)",6497,2096,876,130,3402
"Hombres (019)",3242,967,436,82,1761
"Mujeres (020)",3255,1129,440,48,1641
"PEA (021)",2930,585,512,88,1750
"Hombres (022)",1910,349,273,64,1227
"Mujeres (023)",1020,236,239,24,523
"Ocupada (024)",2857,574,510,88,1690
"Hombres (025)",1853,340,272,64,1180
"Mujeres (026)",1004,234,238,24,510
"Desocupada (027)",73,11,2,,60
"Hombres (028)",57,9,1,,47
"Mujeres (029)",16,2,1,,13
"No PEA (030)",3567,1511,364,42,1652
"Hombres (031)",1332,618,163,18,534
"Mujeres (032)",2235,893,201,24,1118
,,,,,
"RURAL (036)",3198,1318,156,31,1694
"Hombres (037)",1693,621,92,21,960
"Mujeres (038)",1505,697,64,10,734
"PEA (039)",1103,330,72,19,683
"Hombres (040)",836,235,47,13,542
"Mujeres (041)",267,95,25,6,141
"Ocupada (042)",1012,305,71,19,618
"Hombres (043)",762,213,46,13,491
"Mujeres (044)",250,92,25,6,127
"Desocupada (045)",91,25,1,,65
"Hombres (046)",74,22,1,,51
"Mujeres (047)",17,3,,,14
"No PEA (048)",2095,988,84,12,1011
"Hombres (049)",857,386,45,8,418
"Mujeres (050)",1238,602,39,4,593
