"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia YUNGUYO (000)",20244,17418,2826
"De 3 a 5 años (001)",2692,301,2391
"De 6 a 11 años (002)",6043,5694,349
"De 12 a 16 años (003)",5430,5404,26
"De 17 a 24 años (004)",6079,6019,60
"Hombres (005)",10226,8852,1374
"De 3 a 5 años (006)",1321,144,1177
"De 6 a 11 años (007)",3053,2893,160
"De 12 a 16 años (008)",2713,2702,11
"De 17 a 24 años (009)",3139,3113,26
"Mujeres (010)",10018,8566,1452
"De 3 a 5 años (011)",1371,157,1214
"De 6 a 11 años (012)",2990,2801,189
"De 12 a 16 años (013)",2717,2702,15
"De 17 a 24 años (014)",2940,2906,34
,,,
"URBANA (015)",7561,6563,998
"De 3 a 5 años (016)",995,140,855
"De 6 a 11 años (017)",2206,2088,118
"De 12 a 16 años (018)",2018,2011,7
"De 17 a 24 años (019)",2342,2324,18
"Hombres (020)",3769,3277,492
"De 3 a 5 años (021)",493,69,424
"De 6 a 11 años (022)",1140,1083,57
"De 12 a 16 años (023)",954,950,4
"De 17 a 24 años (024)",1182,1175,7
"Mujeres (025)",3792,3286,506
"De 3 a 5 años (026)",502,71,431
"De 6 a 11 años (027)",1066,1005,61
"De 12 a 16 años (028)",1064,1061,3
"De 17 a 24 años (029)",1160,1149,11
,,,
"RURAL (030)",12683,10855,1828
"De 3 a 5 años (031)",1697,161,1536
"De 6 a 11 años (032)",3837,3606,231
"De 12 a 16 años (033)",3412,3393,19
"De 17 a 24 años (034)",3737,3695,42
"Hombres (035)",6457,5575,882
"De 3 a 5 años (036)",828,75,753
"De 6 a 11 años (037)",1913,1810,103
"De 12 a 16 años (038)",1759,1752,7
"De 17 a 24 años (039)",1957,1938,19
"Mujeres (040)",6226,5280,946
"De 3 a 5 años (041)",869,86,783
"De 6 a 11 años (042)",1924,1796,128
"De 12 a 16 años (043)",1653,1641,12
"De 17 a 24 años (044)",1780,1757,23
